COUNTRY,LOWER_OR_SINGLE_HOUSE_ELECTIONS,LOWER_OR_SINGLE_HOUSE_SEATS,LOWER_OR_SINGLE_HOUSE_WOMEN,LOWER_OR_SINGLE_HOUSE_PERCENT_W,UPPER_HOUSE_OR_SENATE_ELECTIONS,UPPER_HOUSE_OR_SENATE_SEATS,UPPER_HOUSE_OR_SENATE_WOMEN,UPPER_HOUSE_OR_SENATE_PERCENT_W
Venezuela,2000-07-01,165.0,16.0,97.0,1970-01-01,0.0,0.0,0.0
El Salvador,2000-03-01,84.0,8.0,95.0,1970-01-01,0.0,0.0,0.0
Honduras,1997-11-01,128.0,12.0,94.0,1970-01-01,0.0,0.0,0.0
Bhutan,1970-01-01,150.0,14.0,93.0,1970-01-01,0.0,0.0,0.0
Malawi,1999-06-01,193.0,18.0,93.0,1970-01-01,0.0,0.0,0.0
Gabon,1996-12-01,120.0,11.0,92.0,1997-01-01,91.0,12.0,132.0
Malta,1998-09-01,65.0,6.0,92.0,1970-01-01,0.0,0.0,0.0
Thailand,2001-01-01,500.0,46.0,92.0,2000-03-01,200.0,21.0,105.0
Sao Tome and Principe,1998-11-01,55.0,5.0,91.0,1970-01-01,0.0,0.0,0.0
Ghana,2000-12-01,200.0,18.0,90.0,1970-01-01,0.0,0.0,0.0
Guatemala,1999-11-01,113.0,10.0,88.0,1970-01-01,0.0,0.0,0.0
Guinea,1995-06-01,114.0,10.0,88.0,1970-01-01,0.0,0.0,0.0
India,1999-09-01,543.0,48.0,88.0,2000-03-01,220.0,0.0,0.0
Sierra Leone,1996-02-01,80.0,7.0,88.0,1970-01-01,0.0,0.0,0.0
Greece,2000-04-01,300.0,26.0,87.0,1970-01-01,0.0,0.0,0.0
Cote d'Ivoire,2000-12-01,223.0,19.0,85.0,1970-01-01,0.0,0.0,0.0
Hungary,1998-05-01,386.0,32.0,83.0,1970-01-01,0.0,0.0,0.0
Burkina Faso,1997-05-01,111.0,9.0,81.0,1995-12-01,162.0,21.0,130.0
Indonesia,1999-06-01,500.0,40.0,80.0,1970-01-01,0.0,0.0,0.0
Madagascar,1998-05-01,150.0,12.0,80.0,1970-01-01,0.0,0.0,0.0
Guinea-Bissau,1999-11-01,102.0,8.0,78.0,1970-01-01,0.0,0.0,0.0
Liberia,1997-07-01,64.0,5.0,78.0,1997-07-01,26.0,5.0,192.0
Ukraine,1998-03-01,450.0,35.0,78.0,1970-01-01,0.0,0.0,0.0
Ethiopia,2000-05-01,547.0,42.0,77.0,2000-05-01,120.0,10.0,83.0
Iraq,2000-03-01,250.0,19.0,76.0,1970-01-01,0.0,0.0,0.0
Russian Federation,1999-12-01,449.0,34.0,76.0,1970-01-01,178.0,1.0,6.0
Cambodia,1998-07-01,122.0,9.0,74.0,1999-03-01,61.0,8.0,131.0
Central African Republic,1998-11-01,109.0,8.0,73.0,1970-01-01,0.0,0.0,0.0
Japan,2000-06-01,480.0,35.0,73.0,2001-07-01,247.0,0.0,0.0
Georgia,1999-10-01,235.0,17.0,72.0,1970-01-01,0.0,0.0,0.0
Uzbekistan,1999-12-01,250.0,18.0,72.0,1970-01-01,0.0,0.0,0.0
Yugoslavia,2000-09-01,138.0,10.0,72.0,2000-09-01,40.0,1.0,25.0
Bosnia and Herzegovina,2000-11-01,42.0,3.0,71.0,2000-11-01,15.0,0.0,0.0
Belize,1998-08-01,29.0,2.0,69.0,1993-06-01,8.0,3.0,375.0
The f.Y.R. of Macedonia,1998-10-01,120.0,8.0,67.0,1970-01-01,0.0,0.0,0.0
Singapore,1997-01-01,93.0,6.0,65.0,1970-01-01,0.0,0.0,0.0
Samoa,2001-03-01,49.0,3.0,61.0,1970-01-01,0.0,0.0,0.0
Benin,1999-03-01,83.0,5.0,60.0,1970-01-01,0.0,0.0,0.0
Maldives,1999-11-01,50.0,3.0,60.0,1970-01-01,0.0,0.0,0.0
Nepal,1999-05-01,205.0,12.0,59.0,2001-06-01,60.0,0.0,0.0
Republic of Korea,2000-04-01,273.0,16.0,59.0,1970-01-01,0.0,0.0,0.0
Brazil,1998-10-01,513.0,29.0,57.0,1998-10-01,81.0,6.0,74.0
Mauritius,2000-09-01,70.0,4.0,57.0,1970-01-01,0.0,0.0,0.0
Cameroon,1997-05-01,180.0,10.0,56.0,1970-01-01,0.0,0.0,0.0
Antigua and Barbuda,1999-03-01,19.0,1.0,53.0,1999-03-01,17.0,2.0,118.0
Equatorial Guinea,1999-03-01,80.0,4.0,50.0,1970-01-01,0.0,0.0,0.0
Togo,1999-03-01,81.0,4.0,49.0,1970-01-01,0.0,0.0,0.0
Kiribati,1998-09-01,42.0,2.0,48.0,1970-01-01,0.0,0.0,0.0
Turkey,1999-04-01,550.0,23.0,42.0,1970-01-01,0.0,0.0,0.0
Sri Lanka,2000-10-01,225.0,9.0,40.0,1970-01-01,0.0,0.0,0.0
Lesotho,1998-05-01,79.0,3.0,38.0,1998-05-01,33.0,9.0,273.0
Mauritania,1996-10-01,79.0,3.0,38.0,2000-04-01,56.0,1.0,18.0
Kenya,1997-12-01,224.0,8.0,36.0,1970-01-01,0.0,0.0,0.0
Algeria,1997-06-01,380.0,13.0,34.0,1997-12-01,144.0,8.0,56.0
Iran Islamic Rep. of,2000-02-01,290.0,10.0,34.0,1970-01-01,0.0,0.0,0.0
Nigeria,1999-02-01,351.0,12.0,34.0,1999-02-01,108.0,3.0,28.0
Armenia,1999-05-01,131.0,4.0,31.0,1970-01-01,0.0,0.0,0.0
Swaziland,1998-10-01,65.0,2.0,31.0,1998-10-01,30.0,4.0,133.0
Marshall Islands,1999-11-01,33.0,1.0,30.0,1970-01-01,0.0,0.0,0.0
Paraguay,1998-05-01,80.0,2.0,25.0,1998-05-01,45.0,8.0,178.0
Chad,1997-01-01,125.0,3.0,24.0,1970-01-01,0.0,0.0,0.0
Egypt,2000-11-01,454.0,11.0,24.0,1970-01-01,0.0,0.0,0.0
Lebanon,2000-08-01,128.0,3.0,23.0,1970-01-01,0.0,0.0,0.0
Gambia,1997-01-01,49.0,1.0,20.0,1970-01-01,0.0,0.0,0.0
Solomon Islands,1997-08-01,49.0,1.0,20.0,1970-01-01,0.0,0.0,0.0
Papua New Guinea,1997-06-01,109.0,2.0,18.0,1970-01-01,0.0,0.0,0.0
Jordan,1997-11-01,80.0,1.0,13.0,1997-11-01,40.0,3.0,75.0
Niger,1999-11-01,83.0,1.0,12.0,1970-01-01,0.0,0.0,0.0
Yemen,1997-04-01,299.0,2.0,7.0,1970-01-01,0.0,0.0,0.0
Morocco,1997-11-01,325.0,2.0,6.0,1997-12-01,270.0,2.0,7.0
Djibouti,1997-12-01,65.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Kuwait,1999-07-01,65.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Micronesia Fed. States of,1999-03-01,14.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Nauru,2000-04-01,18.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Palau,2000-11-01,16.0,0.0,0.0,2000-11-01,9.0,0.0,0.0
Tonga,1999-03-01,30.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Tuvalu,1998-03-01,15.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
United Arab Emirates,1997-12-01,40.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Vanuatu,1998-03-01,52.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Albania,2001-06-01,155.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Bangladesh,2001-10-01,330.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Fiji Islands,2001-08-01,71.0,0.0,0.0,2001-08-01,32.0,0.0,0.0
Haiti,2000-05-01,82.0,0.0,0.0,2000-05-01,19.0,0.0,0.0
Libyan Arab Jamahiriya,1997-03-01,760.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Liechtenstein,2001-02-01,25.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Philippines,2001-05-01,222.0,0.0,0.0,2001-05-01,23.0,0.0,0.0
Poland,2001-09-01,460.0,0.0,0.0,2001-09-01,100.0,0.0,0.0
Saint Vincent & the Grenadines,2001-03-01,21.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Uganda,2001-06-01,281.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Sweden,2002-09-01,349.0,157.0,450.0,1970-01-01,0.0,0.0,0.0
Denmark,2001-11-01,179.0,68.0,380.0,1970-01-01,0.0,0.0,0.0
Norway,2001-09-01,165.0,60.0,364.0,1970-01-01,0.0,0.0,0.0
Costa Rica,2002-02-01,57.0,20.0,351.0,1970-01-01,0.0,0.0,0.0
Netherlands,2002-05-01,150.0,51.0,340.0,1999-05-01,75.0,20.0,267.0
Argentina,2001-10-01,257.0,79.0,307.0,2001-10-01,72.0,24.0,333.0
New Zealand,2002-07-01,120.0,35.0,292.0,1970-01-01,0.0,0.0,0.0
Viet Nam,2002-05-01,498.0,136.0,273.0,1970-01-01,0.0,0.0,0.0
Dem. Rep. of East Timor,2001-08-01,88.0,23.0,261.0,1970-01-01,0.0,0.0,0.0
Australia,2001-11-01,150.0,38.0,253.0,1998-10-01,76.0,22.0,289.0
Uganda,2001-06-01,304.0,75.0,247.0,1970-01-01,0.0,0.0,0.0
Lao People's Democratic Rep.,2002-02-01,109.0,25.0,229.0,1970-01-01,0.0,0.0,0.0
Saint Vincent & the Grenadines,2001-03-01,22.0,5.0,227.0,1970-01-01,0.0,0.0,0.0
Nicaragua,2001-11-01,92.0,19.0,207.0,1970-01-01,0.0,0.0,0.0
Poland,2001-09-01,460.0,93.0,202.0,2001-09-01,100.0,23.0,230.0
Guyana,2001-03-01,65.0,13.0,200.0,1970-01-01,0.0,0.0,0.0
Burundi,1993-06-01,169.0,33.0,195.0,2002-02-01,54.0,0.0,0.0
Senegal,2001-04-01,120.0,23.0,192.0,1970-01-01,0.0,0.0,0.0
Portugal,2002-03-01,230.0,44.0,191.0,1970-01-01,0.0,0.0,0.0
Bolivia,2002-06-01,130.0,24.0,185.0,2002-06-01,27.0,4.0,148.0
United Kingdom,2001-06-01,659.0,118.0,179.0,1970-01-01,713.0,117.0,164.0
Philippines,2001-05-01,214.0,38.0,178.0,2001-05-01,24.0,3.0,125.0
The f.Y.R. of Macedonia,2002-09-01,120.0,21.0,175.0,1970-01-01,0.0,0.0,0.0
Dominican Republic,2002-05-01,150.0,26.0,173.0,2002-05-01,32.0,2.0,63.0
Czech Republic,2002-06-01,200.0,34.0,170.0,2000-11-01,81.0,10.0,123.0
Trinidad and Tobago,2001-12-01,36.0,6.0,167.0,2001-12-01,31.0,10.0,323.0
Ireland,2002-05-01,166.0,22.0,133.0,1997-08-01,60.0,11.0,183.0
Chile,2001-12-01,120.0,15.0,125.0,2001-12-01,49.0,2.0,41.0
France,2002-06-01,577.0,71.0,123.0,2001-09-01,321.0,35.0,109.0
Colombia,2002-03-01,166.0,20.0,120.0,2002-03-01,102.0,9.0,88.0
Liechtenstein,2001-02-01,25.0,3.0,120.0,1970-01-01,0.0,0.0,0.0
Zambia,2001-12-01,158.0,19.0,120.0,1970-01-01,0.0,0.0,0.0
Singapore,2001-11-01,85.0,10.0,118.0,1970-01-01,0.0,0.0,0.0
Burkina Faso,2002-05-01,111.0,13.0,117.0,1970-01-01,0.0,0.0,0.0
Saint Lucia,2001-12-01,18.0,2.0,111.0,1997-05-01,11.0,2.0,182.0
Morocco,2002-09-01,325.0,35.0,108.0,2001-09-01,270.0,1.0,4.0
Italy,2001-05-01,630.0,62.0,98.0,2001-05-01,321.0,25.0,78.0
Gabon,2001-12-01,119.0,11.0,92.0,1997-01-01,91.0,12.0,132.0
Hungary,2002-04-01,386.0,35.0,91.0,1970-01-01,0.0,0.0,0.0
India,1999-09-01,543.0,48.0,88.0,2000-03-01,242.0,22.0,91.0
Madagascar,1998-05-01,150.0,12.0,80.0,2001-03-01,90.0,0.0,0.0
Russian Federation,1999-12-01,449.0,34.0,76.0,1970-01-01,178.0,6.0,34.0
Japan,2000-06-01,480.0,35.0,73.0,2001-07-01,247.0,38.0,154.0
Brazil,1998-10-01,513.0,35.0,68.0,1998-10-01,80.0,5.0,63.0
Algeria,2002-05-01,389.0,24.0,62.0,1997-12-01,144.0,8.0,56.0
Albania,2001-06-01,140.0,8.0,57.0,1970-01-01,0.0,0.0,0.0
Fiji Islands,2001-08-01,70.0,4.0,57.0,2001-08-01,32.0,0.0,0.0
Gambia,2002-01-01,53.0,3.0,57.0,1970-01-01,0.0,0.0,0.0
Honduras,2001-11-01,128.0,7.0,55.0,1970-01-01,0.0,0.0,0.0
Sri Lanka,2001-12-01,225.0,10.0,44.0,1970-01-01,0.0,0.0,0.0
Iran Islamic Rep. of,2000-02-01,290.0,12.0,41.0,1970-01-01,0.0,0.0,0.0
Haiti,2000-05-01,83.0,3.0,36.0,2000-05-01,27.0,7.0,259.0
Bangladesh,2001-10-01,300.0,6.0,20.0,1970-01-01,0.0,0.0,0.0
Vanuatu,2002-05-01,52.0,1.0,19.0,1970-01-01,0.0,0.0,0.0
Solomon Islands,2001-12-01,50.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Bahamas,2002-05-01,40.0,0.0,0.0,2002-05-01,16.0,0.0,0.0
Cameroon,2002-06-01,180.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Chad,2002-04-01,155.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Congo,2002-05-01,137.0,0.0,0.0,2002-07-01,60.0,0.0,0.0
Germany,2002-09-01,666.0,0.0,0.0,1970-01-01,69.0,17.0,246.0
Guinea,2002-06-01,114.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Lesotho,2002-05-01,120.0,0.0,0.0,1998-05-01,33.0,9.0,273.0
Mali,2002-07-01,147.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Mauritania,2001-10-01,81.0,0.0,0.0,2000-04-01,56.0,1.0,18.0
Papua New Guinea,2002-06-01,109.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Sao Tome and Principe,2002-03-01,55.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Sierra Leone,2002-05-01,80.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Slovakia,2002-09-01,150.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Tonga,2002-03-01,30.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Tuvalu,2002-07-01,15.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Ukraine,2002-03-01,450.0,0.0,0.0,1970-01-01,0.0,0.0,0.0
Rwanda,2003-09-01,80.0,39.0,488.0,2003-09-01,20.0,6.0,300.0
Sweden,2002-09-01,349.0,158.0,453.0,1970-01-01,0.0,0.0,0.0
Finland,2003-03-01,200.0,75.0,375.0,1970-01-01,0.0,0.0,0.0
Netherlands,2003-01-01,150.0,55.0,367.0,1999-05-01,75.0,20.0,267.0
Cuba,2003-01-01,609.0,219.0,360.0,1970-01-01,0.0,0.0,0.0
Belgium,2003-05-01,150.0,53.0,353.0,2003-05-01,71.0,23.0,324.0
Austria,2002-11-01,183.0,62.0,339.0,1970-01-01,62.0,13.0,210.0
Germany,2002-09-01,603.0,194.0,322.0,1970-01-01,69.0,17.0,246.0
Iceland,2003-05-01,63.0,19.0,302.0,1970-01-01,0.0,0.0,0.0
Seychelles,2002-12-01,34.0,10.0,294.0,1970-01-01,0.0,0.0,0.0
New Zealand,2002-07-01,120.0,34.0,283.0,1970-01-01,0.0,0.0,0.0
Switzerland,2003-10-01,200.0,53.0,265.0,2003-10-01,46.0,0.0,0.0
Namibia,1999-11-01,72.0,19.0,264.0,1998-11-01,26.0,2.0,77.0
Timor-Leste,2001-08-01,88.0,23.0,261.0,1970-01-01,0.0,0.0,0.0
Mexico,2003-07-01,500.0,113.0,226.0,2000-07-01,128.0,20.0,156.0
Eritrea,1994-02-01,150.0,33.0,220.0,1970-01-01,0.0,0.0,0.0
Pakistan,2002-10-01,342.0,74.0,216.0,2003-02-01,100.0,17.0,170.0
Latvia,2002-10-01,100.0,21.0,210.0,1970-01-01,0.0,0.0,0.0
Monaco,2003-02-01,24.0,5.0,208.0,1970-01-01,0.0,0.0,0.0
Croatia,2000-01-01,151.0,31.0,205.0,1970-01-01,0.0,0.0,0.0
Bahamas,2002-05-01,40.0,8.0,200.0,2002-05-01,16.0,0.0,0.0
Trinidad and Tobago,2002-10-01,36.0,7.0,194.0,2001-12-01,31.0,10.0,323.0
Guinea,2002-06-01,114.0,22.0,193.0,1970-01-01,0.0,0.0,0.0
Slovakia,2002-09-01,150.0,29.0,193.0,1970-01-01,0.0,0.0,0.0
Estonia,2003-03-01,101.0,19.0,188.0,1970-01-01,0.0,0.0,0.0
Burundi,1993-06-01,179.0,33.0,184.0,2002-01-01,53.0,10.0,189.0
The f.Y.R. of Macedonia,2002-09-01,120.0,22.0,183.0,1970-01-01,0.0,0.0,0.0
Czech Republic,2002-06-01,200.0,34.0,170.0,2002-10-01,81.0,10.0,123.0
Bosnia and Herzegovina,2002-10-01,42.0,7.0,167.0,2002-11-01,15.0,0.0,0.0
Ecuador,2002-10-01,100.0,16.0,160.0,1970-01-01,0.0,0.0,0.0
Singapore,2001-11-01,94.0,15.0,160.0,1970-01-01,0.0,0.0,0.0
Israel,2003-01-01,120.0,18.0,150.0,1970-01-01,0.0,0.0,0.0
Sierra Leone,2002-05-01,124.0,18.0,145.0,1970-01-01,0.0,0.0,0.0
United States of America,2002-11-01,435.0,62.0,143.0,2002-11-01,100.0,13.0,13.0
Ireland,2002-05-01,166.0,22.0,133.0,2002-07-01,60.0,10.0,167.0
Gambia,2002-01-01,53.0,7.0,132.0,1970-01-01,0.0,0.0,0.0
France,2002-06-01,574.0,70.0,122.0,2001-09-01,321.0,35.0,109.0
Syrian Arab Republic,2003-03-01,250.0,30.0,120.0,1970-01-01,0.0,0.0,0.0
Jamaica,2002-10-01,60.0,7.0,117.0,2002-10-01,21.0,4.0,190.0
Lesotho,2002-05-01,120.0,14.0,117.0,1970-01-01,33.0,12.0,364.0
Italy,2001-05-01,618.0,71.0,115.0,2001-05-01,321.0,26.0,81.0
Saint Lucia,2001-12-01,18.0,2.0,111.0,2001-12-01,11.0,4.0,364.0
Djibouti,2003-01-01,65.0,7.0,108.0,1970-01-01,0.0,0.0,0.0
El Salvador,2003-03-01,84.0,9.0,107.0,1970-01-01,0.0,0.0,0.0
Kazakhstan,1999-10-01,77.0,8.0,104.0,2002-10-01,39.0,2.0,51.0
Mali,2002-07-01,147.0,15.0,102.0,1970-01-01,0.0,0.0,0.0
Hungary,2002-04-01,386.0,38.0,98.0,1970-01-01,0.0,0.0,0.0
Gabon,2001-12-01,119.0,11.0,92.0,2003-02-01,91.0,12.0,132.0
Sao Tome and Principe,2002-03-01,55.0,5.0,91.0,1970-01-01,0.0,0.0,0.0
Cameroon,2002-06-01,180.0,16.0,89.0,1970-01-01,0.0,0.0,0.0
India,1999-09-01,543.0,48.0,88.0,2002-11-01,242.0,25.0,103.0
Paraguay,2003-04-01,80.0,7.0,88.0,2003-04-01,45.0,4.0,89.0
Brazil,2002-10-01,513.0,44.0,86.0,2002-10-01,81.0,10.0,123.0
Congo,2002-05-01,129.0,11.0,85.0,2002-07-01,60.0,9.0,150.0
Serbia and Montenegro,2003-09-01,126.0,10.0,79.0,1970-01-01,0.0,0.0,0.0
Malta,2003-04-01,65.0,5.0,77.0,1970-01-01,0.0,0.0,0.0
