region,2022_rank,country,regime_type,five_year_mean,year,democracy_index_score,percent_W
Western Europe,37,Cyprus,Flawed democracy,7.51,2006,7.6,0.1428571428571428
Western Europe,37,Cyprus,Flawed democracy,7.51,2006,7.6,0.1428571428571428
Western Europe,37,Cyprus,Flawed democracy,7.51,2006,7.6,0.1428571428571428
Western Europe,34,Italy,Flawed democracy,7.667999999999999,2006,7.73,0.173015873015873
Western Europe,34,Italy,Flawed democracy,7.667999999999999,2006,7.73,0.173015873015873
Western Europe,34,Italy,Flawed democracy,7.667999999999999,2006,7.73,0.173015873015873
Western Europe,34,Italy,Flawed democracy,7.667999999999999,2006,7.73,0.173015873015873
Western Europe,34,Italy,Flawed democracy,7.667999999999999,2006,7.73,0.173015873015873
Western Europe,34,Italy,Flawed democracy,7.667999999999999,2006,7.73,0.173015873015873
Western Europe,34,Italy,Flawed democracy,7.667999999999999,2006,7.73,0.173015873015873
Western Europe,34,Italy,Flawed democracy,7.667999999999999,2006,7.73,0.173015873015873
Western Europe,34,Italy,Flawed democracy,7.667999999999999,2006,7.73,0.173015873015873
Western Europe,34,Italy,Flawed democracy,7.667999999999999,2006,7.73,0.173015873015873
Western Europe,34,Italy,Flawed democracy,7.667999999999999,2006,7.73,0.0
Western Europe,34,Italy,Flawed democracy,7.667999999999999,2006,7.73,0.173015873015873
Western Europe,34,Italy,Flawed democracy,7.667999999999999,2006,7.73,0.173015873015873
Western Europe,9,Netherlands,Full democracy,8.948,2006,9.66,0.3666666666666666
Western Europe,9,Netherlands,Full democracy,8.948,2006,9.66,0.3933333333333333
Western Europe,9,Netherlands,Full democracy,8.948,2006,9.66,0.3666666666666666
Western Europe,9,Netherlands,Full democracy,8.948,2006,9.66,0.4133333333333333
Western Europe,9,Netherlands,Full democracy,8.948,2006,9.66,0.3933333333333333
Western Europe,9,Netherlands,Full democracy,8.948,2006,9.66,0.3933333333333333
Western Europe,9,Netherlands,Full democracy,8.948,2006,9.66,0.3933333333333333
Western Europe,9,Netherlands,Full democracy,8.948,2006,9.66,0.3666666666666666
Western Europe,9,Netherlands,Full democracy,8.948,2006,9.66,0.3933333333333333
Western Europe,4,Sweden,Full democracy,9.338,2006,9.88,0.4727793696275071
Western Europe,4,Sweden,Full democracy,9.338,2006,9.88,0.4699140401146132
Central and Eastern Europe,97,Bosnia and Herzegovina,Hybrid regime,4.944,2006,5.78,0.0
Central and Eastern Europe,97,Bosnia and Herzegovina,Hybrid regime,4.944,2006,5.78,0.1428571428571428
Central and Eastern Europe,97,Bosnia and Herzegovina,Hybrid regime,4.944,2006,5.78,0.119047619047619
Central and Eastern Europe,97,Bosnia and Herzegovina,Hybrid regime,4.944,2006,5.78,0.1428571428571428
Central and Eastern Europe,97,Bosnia and Herzegovina,Hybrid regime,4.944,2006,5.78,0.1428571428571428
Central and Eastern Europe,97,Bosnia and Herzegovina,Hybrid regime,4.944,2006,5.78,0.119047619047619
Central and Eastern Europe,97,Bosnia and Herzegovina,Hybrid regime,4.944,2006,5.78,0.119047619047619
Central and Eastern Europe,97,Bosnia and Herzegovina,Hybrid regime,4.944,2006,5.78,0.1428571428571428
Central and Eastern Europe,97,Bosnia and Herzegovina,Hybrid regime,4.944,2006,5.78,0.1428571428571428
Central and Eastern Europe,97,Bosnia and Herzegovina,Hybrid regime,4.944,2006,5.78,0.119047619047619
Central and Eastern Europe,97,Bosnia and Herzegovina,Hybrid regime,4.944,2006,5.78,0.1428571428571428
Central and Eastern Europe,97,Bosnia and Herzegovina,Hybrid regime,4.944,2006,5.78,0.119047619047619
Central and Eastern Europe,97,Bosnia and Herzegovina,Hybrid regime,4.944,2006,5.78,0.1428571428571428
Central and Eastern Europe,97,Bosnia and Herzegovina,Hybrid regime,4.944,2006,5.78,0.1428571428571428
Central and Eastern Europe,97,Bosnia and Herzegovina,Hybrid regime,4.944,2006,5.78,0.119047619047619
Central and Eastern Europe,97,Bosnia and Herzegovina,Hybrid regime,4.944,2006,5.78,0.119047619047619
Central and Eastern Europe,25,Czech Republic,Flawed democracy,7.752000000000001,2006,8.17,0.155
Central and Eastern Europe,25,Czech Republic,Flawed democracy,7.752000000000001,2006,8.17,0.155
Central and Eastern Europe,25,Czech Republic,Flawed democracy,7.752000000000001,2006,8.17,0.155
Central and Eastern Europe,25,Czech Republic,Flawed democracy,7.752000000000001,2006,8.17,0.155
Central and Eastern Europe,25,Czech Republic,Flawed democracy,7.752000000000001,2006,8.17,0.155
Central and Eastern Europe,25,Czech Republic,Flawed democracy,7.752000000000001,2006,8.17,0.155
Central and Eastern Europe,25,Czech Republic,Flawed democracy,7.752000000000001,2006,8.17,0.155
Central and Eastern Europe,25,Czech Republic,Flawed democracy,7.752000000000001,2006,8.17,0.155
Central and Eastern Europe,25,Czech Republic,Flawed democracy,7.752000000000001,2006,8.17,0.155
Central and Eastern Europe,25,Czech Republic,Flawed democracy,7.752000000000001,2006,8.17,0.155
Central and Eastern Europe,25,Czech Republic,Flawed democracy,7.752000000000001,2006,8.17,0.155
Central and Eastern Europe,25,Czech Republic,Flawed democracy,7.752000000000001,2006,8.17,0.155
Central and Eastern Europe,25,Czech Republic,Flawed democracy,7.752000000000001,2006,8.17,0.155
Central and Eastern Europe,25,Czech Republic,Flawed democracy,7.752000000000001,2006,8.17,0.155
Central and Eastern Europe,25,Czech Republic,Flawed democracy,7.752000000000001,2006,8.17,0.155
Central and Eastern Europe,25,Czech Republic,Flawed democracy,7.752000000000001,2006,8.17,0.155
Central and Eastern Europe,25,Czech Republic,Flawed democracy,7.752000000000001,2006,8.17,0.155
Central and Eastern Europe,25,Czech Republic,Flawed democracy,7.752000000000001,2006,8.17,0.155
Central and Eastern Europe,56,Hungary,Flawed democracy,6.5920000000000005,2006,7.53,0.1036269430051813
Central and Eastern Europe,56,Hungary,Flawed democracy,6.5920000000000005,2006,7.53,0.1036269430051813
Central and Eastern Europe,56,Hungary,Flawed democracy,6.5920000000000005,2006,7.53,0.1113989637305699
Central and Eastern Europe,56,Hungary,Flawed democracy,6.5920000000000005,2006,7.53,0.1036269430051813
Central and Eastern Europe,56,Hungary,Flawed democracy,6.5920000000000005,2006,7.53,0.1036269430051813
Central and Eastern Europe,56,Hungary,Flawed democracy,6.5920000000000005,2006,7.53,0.1036269430051813
Central and Eastern Europe,56,Hungary,Flawed democracy,6.5920000000000005,2006,7.53,0.0
Central and Eastern Europe,56,Hungary,Flawed democracy,6.5920000000000005,2006,7.53,0.1036269430051813
Central and Eastern Europe,38,Latvia,Flawed democracy,7.358000000000001,2006,7.37,0.19
Central and Eastern Europe,38,Latvia,Flawed democracy,7.358000000000001,2006,7.37,0.19
Central and Eastern Europe,38,Latvia,Flawed democracy,7.358000000000001,2006,7.37,0.2
Central and Eastern Europe,38,Latvia,Flawed democracy,7.358000000000001,2006,7.37,0.19
Central and Eastern Europe,38,Latvia,Flawed democracy,7.358000000000001,2006,7.37,0.19
Central and Eastern Europe,38,Latvia,Flawed democracy,7.358000000000001,2006,7.37,0.2
Central and Eastern Europe,38,Latvia,Flawed democracy,7.358000000000001,2006,7.37,0.19
Central and Eastern Europe,38,Latvia,Flawed democracy,7.358000000000001,2006,7.37,0.19
Central and Eastern Europe,38,Latvia,Flawed democracy,7.358000000000001,2006,7.37,0.2
Central and Eastern Europe,61,Montenegro,Flawed democracy,5.926,2006,6.57,0.0864197530864197
Central and Eastern Europe,61,Montenegro,Flawed democracy,5.926,2006,6.57,0.0864197530864197
Central and Eastern Europe,61,Montenegro,Flawed democracy,5.926,2006,6.57,0.1111111111111111
Central and Eastern Europe,61,Montenegro,Flawed democracy,5.926,2006,6.57,0.0864197530864197
Central and Eastern Europe,61,Montenegro,Flawed democracy,5.926,2006,6.57,0.0864197530864197
Central and Eastern Europe,61,Montenegro,Flawed democracy,5.926,2006,6.57,0.0864197530864197
Central and Eastern Europe,61,Montenegro,Flawed democracy,5.926,2006,6.57,0.0864197530864197
Central and Eastern Europe,61,Montenegro,Flawed democracy,5.926,2006,6.57,0.0864197530864197
Central and Eastern Europe,61,Montenegro,Flawed democracy,5.926,2006,6.57,0.0864197530864197
Central and Eastern Europe,43,Slovakia,Flawed democracy,7.0680000000000005,2006,7.4,0.2
Central and Eastern Europe,43,Slovakia,Flawed democracy,7.0680000000000005,2006,7.4,0.1933333333333333
Central and Eastern Europe,43,Slovakia,Flawed democracy,7.0680000000000005,2006,7.4,0.1933333333333333
Central and Eastern Europe,43,Slovakia,Flawed democracy,7.0680000000000005,2006,7.4,0.16
Central and Eastern Europe,87,Ukraine,Hybrid regime,5.678000000000001,2006,6.94,0.0866666666666666
Central and Eastern Europe,87,Ukraine,Hybrid regime,5.678000000000001,2006,6.94,0.0866666666666666
Central and Eastern Europe,87,Ukraine,Hybrid regime,5.678000000000001,2006,6.94,0.0866666666666666
Central and Eastern Europe,87,Ukraine,Hybrid regime,5.678000000000001,2006,6.94,0.0
Central and Eastern Europe,87,Ukraine,Hybrid regime,5.678000000000001,2006,6.94,0.0711111111111111
Central and Eastern Europe,87,Ukraine,Hybrid regime,5.678000000000001,2006,6.94,0.0866666666666666
Latin America and the Caribbean,51,Brazil,Flawed democracy,6.878,2006,7.38,0.0
Latin America and the Caribbean,51,Brazil,Flawed democracy,6.878,2006,7.38,0.087719298245614
Latin America and the Caribbean,51,Brazil,Flawed democracy,6.878,2006,7.38,0.0896686159844054
Latin America and the Caribbean,51,Brazil,Flawed democracy,6.878,2006,7.38,0.087719298245614
Latin America and the Caribbean,51,Brazil,Flawed democracy,6.878,2006,7.38,0.0896686159844054
Latin America and the Caribbean,51,Brazil,Flawed democracy,6.878,2006,7.38,0.087719298245614
Latin America and the Caribbean,51,Brazil,Flawed democracy,6.878,2006,7.38,0.0896686159844054
Latin America and the Caribbean,51,Brazil,Flawed democracy,6.878,2006,7.38,0.0896686159844054
Latin America and the Caribbean,51,Brazil,Flawed democracy,6.878,2006,7.38,0.087719298245614
Latin America and the Caribbean,51,Brazil,Flawed democracy,6.878,2006,7.38,0.0896686159844054
Latin America and the Caribbean,51,Brazil,Flawed democracy,6.878,2006,7.38,0.087719298245614
Latin America and the Caribbean,51,Brazil,Flawed democracy,6.878,2006,7.38,0.0896686159844054
Latin America and the Caribbean,51,Brazil,Flawed democracy,6.878,2006,7.38,0.087719298245614
Latin America and the Caribbean,51,Brazil,Flawed democracy,6.878,2006,7.38,0.0896686159844054
Latin America and the Caribbean,51,Brazil,Flawed democracy,6.878,2006,7.38,0.0896686159844054
Latin America and the Caribbean,53,Colombia,Flawed democracy,6.866,2006,6.4,0.0
Latin America and the Caribbean,53,Colombia,Flawed democracy,6.866,2006,6.4,0.0843373493975903
Latin America and the Caribbean,53,Colombia,Flawed democracy,6.866,2006,6.4,0.0843373493975903
Latin America and the Caribbean,53,Colombia,Flawed democracy,6.866,2006,6.4,0.0843373493975903
Latin America and the Caribbean,53,Colombia,Flawed democracy,6.866,2006,6.4,0.0843373493975903
Latin America and the Caribbean,53,Colombia,Flawed democracy,6.866,2006,6.4,0.0843373493975903
Latin America and the Caribbean,53,Colombia,Flawed democracy,6.866,2006,6.4,0.0843373493975903
Latin America and the Caribbean,53,Colombia,Flawed democracy,6.866,2006,6.4,0.0843373493975903
Latin America and the Caribbean,53,Colombia,Flawed democracy,6.866,2006,6.4,0.0843373493975903
Latin America and the Caribbean,53,Colombia,Flawed democracy,6.866,2006,6.4,0.0843373493975903
Latin America and the Caribbean,53,Colombia,Flawed democracy,6.866,2006,6.4,0.0843373493975903
Latin America and the Caribbean,53,Colombia,Flawed democracy,6.866,2006,6.4,0.0843373493975903
Latin America and the Caribbean,17,Costa Rica,Full democracy,8.144,2006,8.04,0.3859649122807017
Latin America and the Caribbean,17,Costa Rica,Full democracy,8.144,2006,8.04,0.3859649122807017
Latin America and the Caribbean,17,Costa Rica,Full democracy,8.144,2006,8.04,0.3684210526315789
Latin America and the Caribbean,17,Costa Rica,Full democracy,8.144,2006,8.04,0.3684210526315789
Latin America and the Caribbean,17,Costa Rica,Full democracy,8.144,2006,8.04,0.3684210526315789
Latin America and the Caribbean,17,Costa Rica,Full democracy,8.144,2006,8.04,0.3508771929824561
Latin America and the Caribbean,65,Dominican Republic,Flawed democracy,6.448,2006,6.13,0.196629213483146
Latin America and the Caribbean,65,Dominican Republic,Flawed democracy,6.448,2006,6.13,0.196629213483146
Latin America and the Caribbean,65,Dominican Republic,Flawed democracy,6.448,2006,6.13,0.196629213483146
Latin America and the Caribbean,65,Dominican Republic,Flawed democracy,6.448,2006,6.13,0.196629213483146
Latin America and the Caribbean,65,Dominican Republic,Flawed democracy,6.448,2006,6.13,0.196629213483146
Latin America and the Caribbean,65,Dominican Republic,Flawed democracy,6.448,2006,6.13,0.196629213483146
Latin America and the Caribbean,65,Dominican Republic,Flawed democracy,6.448,2006,6.13,0.196629213483146
Latin America and the Caribbean,65,Dominican Republic,Flawed democracy,6.448,2006,6.13,0.196629213483146
Latin America and the Caribbean,65,Dominican Republic,Flawed democracy,6.448,2006,6.13,0.196629213483146
Latin America and the Caribbean,65,Dominican Republic,Flawed democracy,6.448,2006,6.13,0.196629213483146
Latin America and the Caribbean,65,Dominican Republic,Flawed democracy,6.448,2006,6.13,0.0
Latin America and the Caribbean,65,Dominican Republic,Flawed democracy,6.448,2006,6.13,0.196629213483146
Latin America and the Caribbean,81,Ecuador,Hybrid regime,6.026,2006,5.64,0.0
Latin America and the Caribbean,81,Ecuador,Hybrid regime,6.026,2006,5.64,0.25
Latin America and the Caribbean,81,Ecuador,Hybrid regime,6.026,2006,5.64,0.25
Latin America and the Caribbean,81,Ecuador,Hybrid regime,6.026,2006,5.64,0.25
Latin America and the Caribbean,81,Ecuador,Hybrid regime,6.026,2006,5.64,0.25
Latin America and the Caribbean,93,El Salvador,Hybrid regime,5.758,2006,6.22,0.1666666666666666
Latin America and the Caribbean,93,El Salvador,Hybrid regime,5.758,2006,6.22,0.1666666666666666
Latin America and the Caribbean,93,El Salvador,Hybrid regime,5.758,2006,6.22,0.1666666666666666
Latin America and the Caribbean,93,El Salvador,Hybrid regime,5.758,2006,6.22,0.1666666666666666
Latin America and the Caribbean,93,El Salvador,Hybrid regime,5.758,2006,6.22,0.1666666666666666
Latin America and the Caribbean,93,El Salvador,Hybrid regime,5.758,2006,6.22,0.1666666666666666
Latin America and the Caribbean,93,El Salvador,Hybrid regime,5.758,2006,6.22,0.1666666666666666
Latin America and the Caribbean,93,El Salvador,Hybrid regime,5.758,2006,6.22,0.0
Latin America and the Caribbean,93,El Salvador,Hybrid regime,5.758,2006,6.22,0.1666666666666666
Latin America and the Caribbean,93,El Salvador,Hybrid regime,5.758,2006,6.22,0.1666666666666666
Latin America and the Caribbean,93,El Salvador,Hybrid regime,5.758,2006,6.22,0.1666666666666666
Latin America and the Caribbean,93,El Salvador,Hybrid regime,5.758,2006,6.22,0.1666666666666666
Latin America and the Caribbean,67,Guyana,Flawed democracy,6.284000000000001,2006,6.15,0.2898550724637681
Latin America and the Caribbean,67,Guyana,Flawed democracy,6.284000000000001,2006,6.15,0.2898550724637681
Latin America and the Caribbean,67,Guyana,Flawed democracy,6.284000000000001,2006,6.15,0.2898550724637681
Latin America and the Caribbean,67,Guyana,Flawed democracy,6.284000000000001,2006,6.15,0.2898550724637681
Latin America and the Caribbean,67,Guyana,Flawed democracy,6.284000000000001,2006,6.15,0.3
Latin America and the Caribbean,67,Guyana,Flawed democracy,6.284000000000001,2006,6.15,0.2898550724637681
Latin America and the Caribbean,67,Guyana,Flawed democracy,6.284000000000001,2006,6.15,0.2898550724637681
Latin America and the Caribbean,67,Guyana,Flawed democracy,6.284000000000001,2006,6.15,0.0
Latin America and the Caribbean,135,Haiti,Authoritarian,3.998,2006,4.19,0.024390243902439
Latin America and the Caribbean,135,Haiti,Authoritarian,3.998,2006,4.19,0.0408163265306122
Latin America and the Caribbean,135,Haiti,Authoritarian,3.998,2006,4.19,0.0408163265306122
Latin America and the Caribbean,135,Haiti,Authoritarian,3.998,2006,4.19,0.0227272727272727
Latin America and the Caribbean,135,Haiti,Authoritarian,3.998,2006,4.19,0.0408163265306122
Latin America and the Caribbean,135,Haiti,Authoritarian,3.998,2006,4.19,0.0408163265306122
Latin America and the Caribbean,135,Haiti,Authoritarian,3.998,2006,4.19,0.0204081632653061
Latin America and the Caribbean,135,Haiti,Authoritarian,3.998,2006,4.19,0.0408163265306122
Latin America and the Caribbean,135,Haiti,Authoritarian,3.998,2006,4.19,0.0408163265306122
Latin America and the Caribbean,135,Haiti,Authoritarian,3.998,2006,4.19,0.0408163265306122
Latin America and the Caribbean,135,Haiti,Authoritarian,3.998,2006,4.19,0.0408163265306122
Latin America and the Caribbean,135,Haiti,Authoritarian,3.998,2006,4.19,0.0408163265306122
Latin America and the Caribbean,135,Haiti,Authoritarian,3.998,2006,4.19,0.0408163265306122
Latin America and the Caribbean,135,Haiti,Authoritarian,3.998,2006,4.19,0.0408163265306122
Latin America and the Caribbean,135,Haiti,Authoritarian,3.998,2006,4.19,0.0
Latin America and the Caribbean,135,Haiti,Authoritarian,3.998,2006,4.19,0.0202020202020202
Latin America and the Caribbean,135,Haiti,Authoritarian,3.998,2006,4.19,0.0408163265306122
Latin America and the Caribbean,135,Haiti,Authoritarian,3.998,2006,4.19,0.0408163265306122
Latin America and the Caribbean,135,Haiti,Authoritarian,3.998,2006,4.19,0.0408163265306122
Latin America and the Caribbean,135,Haiti,Authoritarian,3.998,2006,4.19,0.024390243902439
Latin America and the Caribbean,135,Haiti,Authoritarian,3.998,2006,4.19,0.0408163265306122
Latin America and the Caribbean,135,Haiti,Authoritarian,3.998,2006,4.19,0.0408163265306122
Latin America and the Caribbean,135,Haiti,Authoritarian,3.998,2006,4.19,0.0408163265306122
Latin America and the Caribbean,89,Mexico,Hybrid regime,5.8340000000000005,2006,6.67,0.0
Latin America and the Caribbean,89,Mexico,Hybrid regime,5.8340000000000005,2006,6.67,0.226
Latin America and the Caribbean,89,Mexico,Hybrid regime,5.8340000000000005,2006,6.67,0.232
Latin America and the Caribbean,89,Mexico,Hybrid regime,5.8340000000000005,2006,6.67,0.226
Latin America and the Caribbean,89,Mexico,Hybrid regime,5.8340000000000005,2006,6.67,0.232
Latin America and the Caribbean,89,Mexico,Hybrid regime,5.8340000000000005,2006,6.67,0.232
Latin America and the Caribbean,89,Mexico,Hybrid regime,5.8340000000000005,2006,6.67,0.226
Latin America and the Caribbean,89,Mexico,Hybrid regime,5.8340000000000005,2006,6.67,0.232
Latin America and the Caribbean,89,Mexico,Hybrid regime,5.8340000000000005,2006,6.67,0.232
Latin America and the Caribbean,89,Mexico,Hybrid regime,5.8340000000000005,2006,6.67,0.226
Latin America and the Caribbean,89,Mexico,Hybrid regime,5.8340000000000005,2006,6.67,0.232
Latin America and the Caribbean,89,Mexico,Hybrid regime,5.8340000000000005,2006,6.67,0.232
Latin America and the Caribbean,89,Mexico,Hybrid regime,5.8340000000000005,2006,6.67,0.0
Latin America and the Caribbean,89,Mexico,Hybrid regime,5.8340000000000005,2006,6.67,0.232
Latin America and the Caribbean,143,Nicaragua,Authoritarian,3.194,2006,5.68,0.1847826086956521
Latin America and the Caribbean,143,Nicaragua,Authoritarian,3.194,2006,5.68,0.1847826086956521
Latin America and the Caribbean,143,Nicaragua,Authoritarian,3.194,2006,5.68,0.1521739130434782
Latin America and the Caribbean,143,Nicaragua,Authoritarian,3.194,2006,5.68,0.1847826086956521
Latin America and the Caribbean,143,Nicaragua,Authoritarian,3.194,2006,5.68,0.1521739130434782
Latin America and the Caribbean,143,Nicaragua,Authoritarian,3.194,2006,5.68,0.1847826086956521
Latin America and the Caribbean,143,Nicaragua,Authoritarian,3.194,2006,5.68,0.1521739130434782
Latin America and the Caribbean,143,Nicaragua,Authoritarian,3.194,2006,5.68,0.1847826086956521
Latin America and the Caribbean,143,Nicaragua,Authoritarian,3.194,2006,5.68,0.1847826086956521
Latin America and the Caribbean,143,Nicaragua,Authoritarian,3.194,2006,5.68,0.1847826086956521
Latin America and the Caribbean,143,Nicaragua,Authoritarian,3.194,2006,5.68,0.1847826086956521
Latin America and the Caribbean,75,Peru,Hybrid regime,6.348000000000001,2006,6.11,0.2916666666666667
Latin America and the Caribbean,75,Peru,Hybrid regime,6.348000000000001,2006,6.11,0.2916666666666667
Latin America and the Caribbean,75,Peru,Hybrid regime,6.348000000000001,2006,6.11,0.2916666666666667
Latin America and the Caribbean,75,Peru,Hybrid regime,6.348000000000001,2006,6.11,0.2916666666666667
Latin America and the Caribbean,75,Peru,Hybrid regime,6.348000000000001,2006,6.11,0.2916666666666667
Latin America and the Caribbean,75,Peru,Hybrid regime,6.348000000000001,2006,6.11,0.2916666666666667
Latin America and the Caribbean,75,Peru,Hybrid regime,6.348000000000001,2006,6.11,0.0
Latin America and the Caribbean,75,Peru,Hybrid regime,6.348000000000001,2006,6.11,0.2916666666666667
Latin America and the Caribbean,75,Peru,Hybrid regime,6.348000000000001,2006,6.11,0.2916666666666667
Asia and Australasia,84,Bhutan,Hybrid regime,5.5120000000000005,2006,2.62,0.0266666666666666
Asia and Australasia,84,Bhutan,Hybrid regime,5.5120000000000005,2006,2.62,0.0266666666666666
Asia and Australasia,84,Bhutan,Hybrid regime,5.5120000000000005,2006,2.62,0.0266666666666666
Asia and Australasia,83,Fiji,Hybrid regime,5.715999999999999,2006,5.66,0.1126760563380281
Asia and Australasia,83,Fiji,Hybrid regime,5.715999999999999,2006,5.66,0.1126760563380281
Asia and Australasia,83,Fiji,Hybrid regime,5.715999999999999,2006,5.66,0.1126760563380281
Asia and Australasia,70,Singapore,Flawed democracy,6.176,2006,5.89,0.2446808510638297
Asia and Australasia,70,Singapore,Flawed democracy,6.176,2006,5.89,0.2446808510638297
Asia and Australasia,70,Singapore,Flawed democracy,6.176,2006,5.89,0.2446808510638297
Asia and Australasia,70,Singapore,Flawed democracy,6.176,2006,5.89,0.2446808510638297
Asia and Australasia,70,Singapore,Flawed democracy,6.176,2006,5.89,0.2446808510638297
Asia and Australasia,55,Thailand,Flawed democracy,5.94,2006,5.67,0.0
Asia and Australasia,55,Thailand,Flawed democracy,5.94,2006,5.67,0.0867768595041322
Asia and Australasia,55,Thailand,Flawed democracy,5.94,2006,5.67,0.0
Asia and Australasia,55,Thailand,Flawed democracy,5.94,2006,5.67,0.0867768595041322
Asia and Australasia,55,Thailand,Flawed democracy,5.94,2006,5.67,0.0867768595041322
Asia and Australasia,55,Thailand,Flawed democracy,5.94,2006,5.67,0.0867768595041322
Asia and Australasia,55,Thailand,Flawed democracy,5.94,2006,5.67,0.0867768595041322
Asia and Australasia,55,Thailand,Flawed democracy,5.94,2006,5.67,0.0
Asia and Australasia,55,Thailand,Flawed democracy,5.94,2006,5.67,0.0867768595041322
Middle East and North Africa,142,Bahrain,Authoritarian,2.558,2006,3.53,0.025
Middle East and North Africa,142,Bahrain,Authoritarian,2.558,2006,3.53,0.025
Middle East and North Africa,142,Bahrain,Authoritarian,2.558,2006,3.53,0.0416666666666666
Middle East and North Africa,142,Bahrain,Authoritarian,2.558,2006,3.53,0.025
Middle East and North Africa,142,Bahrain,Authoritarian,2.558,2006,3.53,0.025
Middle East and North Africa,142,Bahrain,Authoritarian,2.558,2006,3.53,0.025
Middle East and North Africa,142,Bahrain,Authoritarian,2.558,2006,3.53,0.025
Middle East and North Africa,142,Bahrain,Authoritarian,2.558,2006,3.53,0.025
Middle East and North Africa,142,Bahrain,Authoritarian,2.558,2006,3.53,0.025
Middle East and North Africa,142,Bahrain,Authoritarian,2.558,2006,3.53,0.025
Middle East and North Africa,142,Bahrain,Authoritarian,2.558,2006,3.53,0.025
Middle East and North Africa,142,Bahrain,Authoritarian,2.558,2006,3.53,0.025
Middle East and North Africa,142,Bahrain,Authoritarian,2.558,2006,3.53,0.025
Middle East and North Africa,142,Bahrain,Authoritarian,2.558,2006,3.53,0.025
Middle East and North Africa,142,Bahrain,Authoritarian,2.558,2006,3.53,0.025
Middle East and North Africa,142,Bahrain,Authoritarian,2.558,2006,3.53,0.025
Middle East and North Africa,142,Bahrain,Authoritarian,2.558,2006,3.53,0.025
Middle East and North Africa,142,Bahrain,Authoritarian,2.558,2006,3.53,0.025
Middle East and North Africa,29,Israel,Flawed democracy,7.878,2006,7.28,0.1416666666666666
Middle East and North Africa,29,Israel,Flawed democracy,7.878,2006,7.28,0.1416666666666666
Middle East and North Africa,29,Israel,Flawed democracy,7.878,2006,7.28,0.1416666666666666
Middle East and North Africa,29,Israel,Flawed democracy,7.878,2006,7.28,0.1416666666666666
Middle East and North Africa,29,Israel,Flawed democracy,7.878,2006,7.28,0.1416666666666666
Middle East and North Africa,29,Israel,Flawed democracy,7.878,2006,7.28,0.1416666666666666
Middle East and North Africa,29,Israel,Flawed democracy,7.878,2006,7.28,0.1416666666666666
Middle East and North Africa,29,Israel,Flawed democracy,7.878,2006,7.28,0.1333333333333333
Middle East and North Africa,29,Israel,Flawed democracy,7.878,2006,7.28,0.1416666666666666
Middle East and North Africa,29,Israel,Flawed democracy,7.878,2006,7.28,0.1416666666666666
Middle East and North Africa,29,Israel,Flawed democracy,7.878,2006,7.28,0.1416666666666666
Middle East and North Africa,111,Kuwait,Authoritarian,3.864,2006,3.09,0.0153846153846153
Middle East and North Africa,111,Kuwait,Authoritarian,3.864,2006,3.09,0.0153846153846153
Middle East and North Africa,114,Qatar,Authoritarian,3.3839999999999995,2006,2.78,0.0
Middle East and North Africa,133,United Arab Emirates,Authoritarian,2.804,2006,2.42,0.225
Middle East and North Africa,133,United Arab Emirates,Authoritarian,2.804,2006,2.42,0.225
Middle East and North Africa,133,United Arab Emirates,Authoritarian,2.804,2006,2.42,0.05
