year,position,num_women,seats,percent_women,percent_change_from_previous_year
1949,U.S. Senator,1,100,1.0,0.0
1950,U.S. Representative,9,435,2.0689655172413794,0.0
1950,U.S. Senator,1,100,1.0,0.0
1951,U.S. Representative,10,435,2.2988505747126435,0.11111111111111116
1951,U.S. Senator,1,100,1.0,0.0
1952,U.S. Representative,10,435,2.2988505747126435,0.0
1952,U.S. Senator,1,100,1.0,0.0
1953,U.S. Representative,11,435,2.528735632183908,0.10000000000000009
1953,U.S. Senator,1,100,1.0,0.0
1954,U.S. Representative,11,435,2.528735632183908,0.0
1954,U.S. Senator,3,100,3.0,2.0
1955,U.S. Representative,15,435,3.4482758620689653,0.36363636363636354
1955,U.S. Senator,1,100,1.0,-0.6666666666666667
1956,U.S. Representative,15,435,3.4482758620689653,0.0
1956,U.S. Senator,1,100,1.0,0.0
1957,U.S. Representative,15,435,3.4482758620689653,0.0
1957,U.S. Senator,1,100,1.0,0.0
1958,U.S. Representative,15,435,3.4482758620689653,0.0
1958,U.S. Senator,1,100,1.0,0.0
1959,U.S. Representative,16,435,3.67816091954023,0.06666666666666665
1959,U.S. Senator,1,100,1.0,0.0
1960,U.S. Representative,17,435,3.9080459770114944,0.0625
1960,U.S. Senator,2,100,2.0,1.0
1961,U.S. Representative,17,435,3.9080459770114944,0.0
1961,U.S. Senator,2,100,2.0,0.0
1962,U.S. Representative,18,435,4.137931034482759,0.05882352941176472
1962,U.S. Senator,2,100,2.0,0.0
1963,U.S. Representative,11,435,2.528735632183908,-0.38888888888888884
1963,U.S. Senator,2,100,2.0,0.0
1964,U.S. Representative,12,435,2.7586206896551726,0.09090909090909083
1964,U.S. Senator,2,100,2.0,0.0
1965,U.S. Representative,10,435,2.2988505747126435,-0.16666666666666663
1965,U.S. Senator,2,100,2.0,0.0
1966,U.S. Representative,11,435,2.528735632183908,0.10000000000000009
1966,U.S. Senator,2,100,2.0,0.0
1967,U.S. Representative,11,435,2.528735632183908,0.0
1967,U.S. Senator,1,100,1.0,-0.5
1968,U.S. Representative,11,435,2.528735632183908,0.0
1968,U.S. Senator,1,100,1.0,0.0
1969,U.S. Representative,10,435,2.2988505747126435,-0.09090909090909094
1969,U.S. Senator,1,100,1.0,0.0
1970,U.S. Representative,10,435,2.2988505747126435,0.0
1970,U.S. Senator,1,100,1.0,0.0
1971,U.S. Representative,12,435,2.7586206896551726,0.19999999999999996
1971,U.S. Senator,1,100,1.0,0.0
1972,U.S. Representative,12,435,2.7586206896551726,0.0
1972,U.S. Senator,2,100,2.0,1.0
1973,U.S. Representative,16,435,3.67816091954023,0.33333333333333326
1974,U.S. Representative,16,435,3.67816091954023,0.0
1975,U.S. Representative,19,435,4.3678160919540225,0.1875
1976,U.S. Representative,19,435,4.3678160919540225,0.0
1977,U.S. Representative,18,435,4.137931034482759,-0.052631578947368474
1978,U.S. Representative,18,435,4.137931034482759,0.0
1978,U.S. Senator,3,100,3.0,0.5
1979,U.S. Representative,16,435,3.67816091954023,-0.11111111111111116
1979,U.S. Senator,1,100,1.0,-0.6666666666666667
1980,U.S. Representative,16,435,3.67816091954023,0.0
1980,U.S. Senator,1,100,1.0,0.0
1981,U.S. Representative,19,435,4.3678160919540225,0.1875
1981,U.S. Senator,2,100,2.0,1.0
1982,U.S. Representative,21,435,4.827586206896552,0.10526315789473695
1982,U.S. Senator,2,100,2.0,0.0
1983,U.S. Representative,22,435,5.057471264367816,0.04761904761904767
1983,U.S. Senator,2,100,2.0,0.0
1984,U.S. Representative,22,435,5.057471264367816,0.0
1984,U.S. Senator,2,100,2.0,0.0
1985,U.S. Representative,23,435,5.287356321839081,0.045454545454545414
1985,U.S. Senator,2,100,2.0,0.0
1986,U.S. Representative,23,435,5.287356321839081,0.0
1986,U.S. Senator,2,100,2.0,0.0
1987,U.S. Representative,24,435,5.517241379310345,0.04347826086956519
1987,U.S. Senator,2,100,2.0,0.0
1988,U.S. Representative,23,435,5.287356321839081,-0.04166666666666663
1988,U.S. Senator,2,100,2.0,0.0
1989,U.S. Representative,27,435,6.206896551724138,0.17391304347826098
1989,U.S. Senator,2,100,2.0,0.0
1990,U.S. Representative,29,435,6.666666666666667,0.07407407407407418
1990,U.S. Senator,2,100,2.0,0.0
1991,U.S. Representative,28,435,6.436781609195402,-0.03448275862068961
1991,U.S. Senator,2,100,2.0,0.0
1992,U.S. Representative,29,435,6.666666666666667,0.03571428571428581
1992,U.S. Senator,4,100,4.0,1.0
1993,U.S. Representative,47,435,10.804597701149426,0.6206896551724137
1993,U.S. Senator,7,100,7.000000000000001,0.75
1994,U.S. Representative,47,435,10.804597701149426,0.0
1994,U.S. Senator,7,100,7.000000000000001,0.0
1995,U.S. Representative,47,435,10.804597701149426,0.0
1995,U.S. Senator,8,100,8.0,0.1428571428571428
1996,U.S. Representative,49,435,11.264367816091953,0.042553191489361764
1996,U.S. Senator,9,100,9.0,0.125
1997,U.S. Representative,51,435,11.724137931034482,0.04081632653061229
1997,U.S. Senator,9,100,9.0,0.0
1998,U.S. Representative,54,435,12.413793103448276,0.05882352941176472
1998,U.S. Senator,9,100,9.0,0.0
1999,U.S. Representative,56,435,12.873563218390805,0.03703703703703698
1999,U.S. Senator,9,100,9.0,0.0
2000,U.S. Representative,56,435,12.873563218390805,0.0
2000,U.S. Senator,9,100,9.0,0.0
2001,U.S. Representative,60,435,13.793103448275861,0.0714285714285714
2001,U.S. Senator,13,100,13.0,0.4444444444444444
2002,U.S. Representative,60,435,13.793103448275861,0.0
2002,U.S. Senator,14,100,14.000000000000002,0.07692307692307687
2003,U.S. Representative,59,435,13.563218390804598,-0.01666666666666672
2003,U.S. Senator,14,100,14.000000000000002,0.0
2004,U.S. Representative,60,435,13.793103448275861,0.016949152542372836
2004,U.S. Senator,14,100,14.000000000000002,0.0
2005,U.S. Representative,66,435,15.172413793103448,0.10000000000000009
2005,U.S. Senator,14,100,14.000000000000002,0.0
2006,U.S. Representative,67,435,15.402298850574713,0.015151515151515138
2006,U.S. Senator,14,100,14.000000000000002,0.0
2007,U.S. Representative,73,435,16.7816091954023,0.08955223880597019
2007,U.S. Senator,16,100,16.0,0.1428571428571428
2008,U.S. Representative,73,435,16.7816091954023,0.0
2008,U.S. Senator,16,100,16.0,0.0
2009,U.S. Representative,76,435,17.47126436781609,0.041095890410958846
2009,U.S. Senator,18,100,18.0,0.125
2010,U.S. Representative,73,435,16.7816091954023,-0.03947368421052633
2010,U.S. Senator,17,100,17.0,-0.05555555555555558
2011,U.S. Representative,73,435,16.7816091954023,0.0
2011,U.S. Senator,17,100,17.0,0.0
2012,U.S. Representative,75,435,17.24137931034483,0.027397260273972712
2012,U.S. Senator,17,100,17.0,0.0
2013,U.S. Representative,80,435,18.39080459770115,0.06666666666666665
2013,U.S. Senator,20,100,20.0,0.17647058823529416
2014,U.S. Representative,80,435,18.39080459770115,0.0
2014,U.S. Senator,20,100,20.0,0.0
2015,U.S. Representative,84,435,19.310344827586206,0.050000000000000044
2015,U.S. Senator,20,100,20.0,0.0
2016,U.S. Representative,85,435,19.54022988505747,0.011904761904761862
2016,U.S. Senator,20,100,20.0,0.0
2017,U.S. Representative,84,435,19.310344827586206,-0.0117647058823529
2017,U.S. Senator,21,100,21.0,0.050000000000000044
2018,U.S. Representative,88,435,20.229885057471265,0.04761904761904767
2018,U.S. Senator,23,100,23.0,0.09523809523809534
2019,U.S. Representative,102,435,23.448275862068964,0.15909090909090917
2019,U.S. Senator,25,100,25.0,0.08695652173913038
2020,U.S. Representative,101,435,23.218390804597703,-0.009803921568627416
2020,U.S. Senator,26,100,26.0,0.040000000000000036
2021,U.S. Representative,122,435,28.045977011494255,0.20792079207920788
2021,U.S. Senator,26,100,26.0,0.0
2022,U.S. Representative,124,435,28.50574712643678,0.016393442622950838
2022,U.S. Senator,24,100,24.0,-0.07692307692307687
2023,U.S. Representative,124,435,28.50574712643678,0.0
2023,U.S. Senator,25,100,25.0,0.04166666666666674
2024,U.S. Representative,124,435,28.50574712643678,0.0
2024,U.S. Senator,25,100,25.0,0.0
2025,U.S. Senator,12,100,12.0,-0.52
2026,U.S. Senator,12,100,12.0,0.0
2027,U.S. Senator,5,100,5.0,-0.5833333333333333
2028,U.S. Senator,5,100,5.0,0.0
