Rank,Country,Elections,Seats*,Women,% W,Elections.1,Seats*.1,Women.1,% W.1
124,Yemen,04 2003,301,1,0.3,---,---,---,---
125,Bahrain,10 2002,40,0,0.0,11 2002,40,6,15.0
"""",Kuwait,07 2003,65,0,0.0,---,---,---,---
"""",Micronesia (Fed. States of),03 2003,14,0,0.0,---,---,---,---
"""",Palau,11 2000,16,0,0.0,11 2000,9,0,0.0
"""",Saudi Arabia,05 2001,120,0,0.0,---,---,---,---
"""",Solomon Islands,12 2001,50,0,0.0,---,---,---,---
"""",Tonga,03 2002,30,0,0.0,---,---,---,---
"""",Tuvalu,07 2002,15,0,0.0,---,---,---,---
"""",United Arab Emirates,12 1997,40,0,0.0,---,---,---,---
?,Guinea-Bissau,03 2004,104,?,?,---,---,---,---
?,Libyan Arab Jamahiriya,03 1997,760,?,?,---,---,---,---
?,Nauru,10 2004,18,?,?,---,---,---,---
?,Saint Kitts and Nevis,10 2004,15,?,?,---,---,---,---
?,Uruguay,10 2004,99,?,?,10 2004,31,?,?
