Rank,Country,Elections,Seats*,Women,% W,Elections.1,Seats*.1,Women.1,% W.1
68,Bolivia,12 2005,130,22,16.9%,12 2005,27,1,3.7%
69,United States of America,11 2006,435,73,16.8%,11 2006,100,16,16.0%
70,El Salvador,3 2006,84,14,16.7%,---,---,---,---
"""",Gabon,12 2001,120,20,16.7%,2 2003,91,14,15.4%
"""",Panama,5 2004,78,13,16.7%,---,---,---,---
71,Cambodia,7 2008,123,20,16.3%,1 2006,61,9,14.8%
72,Turkmenistan,12 2004,50,8,16.0%,---,---,---,---
73,Kazakhstan,8 2007,107,17,15.9%,8 2005,47,2,4.3%
74,Czech Republic,6 2006,200,31,15.5%,10 2006,81,11,13.6%
75,Burkina Faso,5 2007,111,17,15.3%,---,---,---,---
76,Zambia,9 2006,158,24,15.2%,---,---,---,---
"""",Zimbabwe,3 2008,210,32,15.2%,3 2008,90,23,25.6%
77,Chile,12 2005,120,18,15.0%,12 2005,38,2,5.3%
78,Greece,9 2007,300,44,14.7%,---,---,---,---
79,Cyprus,5 2006,56,8,14.3%,---,---,---,---
80,Israel,3 2006,120,17,14.2%,---,---,---,---
81,Guinea-Bissau,3 2004,100,14,14.0%,---,---,---,---
"""",Russian Federation,12 2007,450,63,14.0%,N.A.,169,8,4.7%
82,Cameroon,7 2007,180,25,13.9%,---,---,---,---
83,Djibouti,2 2008,65,9,13.8%,---,---,---,---
84,Republic of Korea,4 2008,299,41,13.7%,---,---,---,---
85,Grenada,7 2008,15,2,13.3%,8 2008,13,4,30.8%
"""",Ireland,5 2007,166,22,13.3%,7 2007,60,13,21.7%
"""",Jamaica,9 2007,60,8,13.3%,9 2007,21,3,14.3%
"""",Slovenia,9 2008,90,12,13.3%,11 2007,40,1,2.5%
86,Sierra Leone,8 2007,121,16,13.2%,---,---,---,---
87,Malawi,5 2004,193,25,13.0%,---,---,---,---
88,Liberia,10 2005,64,8,12.5%,10 2005,30,5,16.7%
"""",Paraguay,4 2008,80,10,12.5%,4 2008,45,7,15.6%
89,Niger,12 2004,113,14,12.4%,---,---,---,---
"""",Syrian Arab Republic,4 2007,250,31,12.4%,---,---,---,---
90,Bahamas,5 2007,41,5,12.2%,5 2007,15,9,60.0%
91,Uruguay,10 2004,99,12,12.1%,10 2004,31,4,12.9%
92,Guatemala,9 2007,158,19,12.0%,---,---,---,---
"""",Maldives,1 2005,50,6,12.0%,---,---,---,---
93,Bosnia and Herzegovina,10 2006,42,5,11.9%,3 2007,15,2,13.3%
94,San Marino,6 2006,60,7,11.7%,---,---,---,---
"""",Thailand,12 2007,480,56,11.7%,3 2008,150,24,16.0%
95,Indonesia,4 2004,550,64,11.6%,---,---,---,---
96,Azerbaijan,11 2005,123,14,11.4%,---,---,---,---
97,Botswana,10 2004,63,7,11.1%,---,---,---,---
"""",Hungary,4 2006,386,43,11.1%,---,---,---,---
"""",Montenegro,9 2006,81,9,11.1%,---,---,---,---
"""",Saint Lucia,12 2006,18,2,11.1%,1 2007,11,3,27.3%
"""",Togo,10 2007,81,9,11.1%,---,---,---,---
98,Ghana,12 2004,230,25,10.9%,---,---,---,---
99,Benin,3 2003,83,9,10.8%,---,---,---,---
"""",Malaysia,3 2008,222,24,10.8%,N.A.,59,17,28.8%
100,Antigua and Barbuda,3 2004,19,2,10.5%,3 2004,17,4,23.5%
"""",Central African Republic,3 2005,105,11,10.5%,---,---,---,---
"""",Morocco,9 2007,325,34,10.5%,9 2006,270,3,1.1%
101,Mali,7 2007,147,15,10.2%,---,---,---,---
102,Barbados,1 2008,30,3,10.0%,2 2008,21,4,19.0%
103,Gambia,1 2002,53,5,9.4%,---,---,---,---
"""",Japan,9 2005,480,45,9.4%,7 2007,242,44,18.2%
"""",Romania,11 2004,330,31,9.4%,11 2004,137,14,10.2%
104,India,4 2004,541,49,9.1%,6 2008,243,23,9.5%
"""",Turkey,7 2007,549,50,9.1%,---,---,---,---
105,Brazil,10 2006,513,46,9.0%,10 2006,81,10,12.3%
106,Cote d'Ivoire,12 2000,203,18,8.9%,---,---,---,---
"""",Kenya,12 2007,224,20,8.9%,---,---,---,---
107,Malta,3 2008,69,6,8.7%,---,---,---,---
108,Bhutan,3 2008,47,4,8.5%,12 2007,25,6,24.0%
109,Armenia,5 2007,131,11,8.4%,---,---,---,---
"""",Colombia,3 2006,166,14,8.4%,3 2006,102,12,11.8%
"""",Democratic Republic of the Congo,7 2006,500,42,8.4%,1 2007,108,5,4.6%
110,Samoa,3 2006,49,4,8.2%,---,---,---,---
"""",Somalia,8 2004,256,21,8.2%,---,---,---,---
"""",Ukraine,9 2007,450,37,8.2%,---,---,---,---
111,Madagascar,9 2007,127,10,7.9%,4 2008,33,4,12.1%
112,Algeria,5 2007,389,30,7.7%,12 2006,136,4,2.9%
"""",Libyan Arab Jamahiriya,3 2006,468,36,7.7%,---,---,---,---
113,Congo,6 2007,137,10,7.3%,8 2008,70,9,12.9%
114,Albania,7 2005,140,10,7.1%,---,---,---,---
115,Nigeria,4 2007,358,25,7.0%,4 2007,109,9,8.3%
116,Saint Kitts and Nevis,10 2004,15,1,6.7%,---,---,---,---
117,Jordan,11 2007,110,7,6.4%,11 2007,55,7,12.7%
118,Equatorial Guinea,5 2008,100,6,6.0%,---,---,---,---
"""",Georgia,5 2008,150,9,6.0%,---,---,---,---
119,Sri Lanka,4 2004,225,13,5.8%,---,---,---,---
120,Chad,4 2002,155,8,5.2%,---,---,---,---
121,Lebanon,5 2005,128,6,4.7%,---,---,---,---
122,Kiribati,8 2007,46,2,4.3%,---,---,---,---
123,Mongolia,6 2008,72,3,4.2%,---,---,---,---
124,Haiti,2 2006,98,4,4.1%,2 2006,18,2,11.1%
125,Vanuatu,9 2008,52,2,3.8%,---,---,---,---
126,Kuwait 2,5 2008,65,2,3.1%,---,---,---,---
"""",Tonga,4 2008,32,1,3.1%,---,---,---,---
127,Comoros,4 2004,33,1,3.0%,---,---,---,---
"""",Marshall Islands,11 2007,33,1,3.0%,---,---,---,---
128,Iran (Islamic Republic of),3 2008,286,8,2.8%,---,---,---,---
129,Bahrain,11 2006,40,1,2.5%,12 2006,40,10,25.0%
130,Egypt,11 2005,442,8,1.8%,6 2007,264,18,6.8%
"""",Sao Tome and Principe,3 2006,55,1,1.8%,---,---,---,---
131,Papua New Guinea,6 2007,109,1,0.9%,---,---,---,---
132,Yemen,4 2003,301,1,0.3%,4 2001,111,2,1.8%
133,Belize,2 2008,32,0,0.0%,3 2008,13,5,38.5%
"""",Micronesia (Federated States of),3 2005,14,0,0.0%,---,---,---,---
"""",Nauru,4 2008,18,0,0.0%,---,---,---,---
"""",Oman,10 2007,84,0,0.0%,11 2007,70,14,20.0%
"""",Palau,11 2004,16,0,0.0%,11 2004,9,0,0.0%
"""",Qatar,7 2008,35,0,0.0%,---,---,---,---
"""",Saudi Arabia,4 2005,150,0,0.0%,---,---,---,---
"""",Solomon Islands,4 2006,50,0,0.0%,---,---,---,---
"""",Tuvalu,8 2006,15,0,0.0%,---,---,---,---
134,Austria,9 2008,183,?,?,N.A.,61,15,24.6%
"""",Belarus,9 2008,110,?,?,11 2004,58,18,31.0%
"""",Swaziland,9 2008,65,?,?,10 2003,30,11,36.7%
