Rank,Country,Lower or single House,Lower or single House.1,Lower or single House.2,Lower or single House.3,Upper House or Senate,Upper House or Senate.1,Upper House or Senate.2,Upper House or Senate.3
146,Mauritius,10.12.2014,69,8,11.60%,---,---,---,---
147,Congo,16.07.2017,151,17,11.30%,31.08.2017,71,14,19.70%
148,Antigua and Barbuda,12.06.2014,18,2,11.10%,25.06.2014,17,5,29.40%
149,Burkina Faso,29.11.2015,127,14,11.00%,---,---,---,---
150,Djibouti,22.02.2013,65,7,10.80%,---,---,---,---
151,Brazil,05.10.2014,513,55,10.70%,05.10.2014,81,12,14.80%
152,Cote d'Ivoire,18.12.2016,255,27,10.60%,---,---,---,---
153,Nauru,09.07.2016,19,2,10.50%,---,---,---,---
154,Malaysia,05.05.2013,222,23,10.40%,N.A.,68,15,22.10%
155,Gambia,06.04.2017,58,6,10.30%,---,---,---,---
156,Myanmar,08.11.2015,433,44,10.20%,08.11.2015,221,23,10.40%
157,Hungary,06.04.2014,199,20,10.10%,---,---,---,---
"""",Japan,22.10.2017,465,47,10.10%,10.07.2016,242,50,20.70%
159,Samoa,04.03.2016,50,5,10.00%,---,---,---,---
160,Liberia,10.10.2017,71,7,9.90%,20.12.2014,30,3,10.00%
161,Qatar,01.07.2013,41,4,9.80%,---,---,---,---
162,Botswana,24.10.2014,63,6,9.50%,---,---,---,---
163,Belize,04.11.2015,32,3,9.40%,13.11.2015,13,2,15.40%
164,Brunei Darussalam,13.01.2017,33,3,9.10%,---,---,---,---
"""",Marshall Islands,16.11.2015,33,3,9.10%,---,---,---,---
166,Democratic Republic of the Congo,28.11.2011,492,44,8.90%,19.01.2007,108,5,4.60%
167,Mali,24.11.2013,147,13,8.80%,---,---,---,---
168,Central African Republic,14.02.2016,140,12,8.60%,---,---,---,---
169,Bhutan,13.07.2013,47,4,8.50%,23.04.2013,25,2,8.00%
170,Tonga,16.11.2017,26,2,7.70%,---,---,---,---
171,Bahrain,22.11.2014,40,3,7.50%,07.12.2014,40,9,22.50%
172,Benin,26.04.2015,83,6,7.20%,---,---,---,---
173,Tuvalu,31.03.2015,15,1,6.70%,---,---,---,---
174,Kiribati,30.12.2015,46,3,6.50%,---,---,---,---
175,Swaziland,20.09.2013,65,4,6.20%,30.10.2013,30,10,33.30%
176,Comoros,25.01.2015,33,2,6.10%,---,---,---,---
177,Iran (Islamic Republic of),26.02.2016,289,17,5.90%,---,---,---,---
"""",Maldives,22.03.2014,85,5,5.90%,---,---,---,---
179,Sri Lanka,17.08.2015,225,13,5.80%,---,---,---,---
180,Nigeria,28.03.2015,360,20,5.60%,28.03.2015,108,7,6.50%
181,Thailand,07.08.2014,250,12,4.80%,---,---,---,---
182,Kuwait,26.11.2016,65,2,3.10%,---,---,---,---
"""",Lebanon,07.06.2009,128,4,3.10%,---,---,---,---
184,Haiti,09.08.2015,118,3,2.50%,20.11.2016,28,1,3.60%
185,Solomon Islands,19.11.2014,50,1,2.00%,---,---,---,---
186,Oman,25.10.2015,85,1,1.20%,07.11.2015,85,14,16.50%
187,Micronesia (Federated States of),07.03.2017,14,0,0.00%,---,---,---,---
"""",Papua New Guinea,24.06.2017,106,0,0.00%,---,---,---,---
"""",Vanuatu,22.01.2016,52,0,0.00%,---,---,---,---
"""",Yemen,27.04.2003,275,0,0.00%,28.04.2001,111,2,1.80%
?,Chile,19.11.2017,155,?,?,19.11.2017,43,?,?
?,Equatorial Guinea,12.11.2017,99,?,?,12.11.2017,54,?,?
?,Honduras,26.11.2017,128,?,?,---,---,---,---
