Rank,Country,Lower or single House,Lower or single House.1,Lower or single House.2,Lower or single House.3,Upper House or Senate,Upper House or Senate.1,Upper House or Senate.2,Upper House or Senate.3
41,El Salvador,3 2012,84,23,27.4%,---,---,---,---
42,Philippines,5 2013,289,79,27.3%,5 2013,24,6,25.0%
43,Lesotho,5 2012,120,32,26.7%,6 2012,33,9,27.3%
44,Belarus,9 2012,109,29,26.6%,8 2012,57,20,35.1%
45,South Sudan,8 2011,332,88,26.5%,8 2011,50,5,10.0%
46,Turkmenistan,12 2013,125,33,26.4%,---,---,---,---
47,France,6 2012,577,151,26.2%,9 2014,348,87,25.0%
48,Australia,9 2013,150,39,26.0%,9 2013,76,29,38.2%
49,Honduras,11 2013,128,33,25.8%,---,---,---,---
50,Iraq,4 2014,328,83,25.3%,---,---,---,---
"""",Singapore,5 2011,99,25,25.3%,---,---,---,---
51,Kazakhstan,1 2012,115,29,25.2%,10 2014,47,3,6.4%
"""",Mauritania,11 2013,147,37,25.2%,11 2009,56,8,14.3%
52,Canada,5 2011,307,77,25.1%,N.A.,96,38,39.6%
53,Lao People's Democratic Republic,4 2011,132,33,25.0%,---,---,---,---
54,Poland,10 2011,460,112,24.3%,10 2011,100,13,13.0%
"""",Sudan,4 2010,354,86,24.3%,5 2010,29,5,17.2%
"""",Viet Nam,5 2011,498,121,24.3%,---,---,---,---
55,Lithuania,10 2012,141,34,24.1%,---,---,---,---
56,Equatorial Guinea,5 2013,100,24,24.0%,5 2013,75,8,10.7%
57,Croatia,12 2011,151,36,23.8%,---,---,---,---
58,China,3 2013,2987,699,23.4%,---,---,---,---
59,Kyrgyzstan,10 2010,120,28,23.3%,---,---,---,---
60,United Kingdom,5 2010,650,147,22.6%,N.A.,779,182,23.4%
61,Israel,1 2013,120,27,22.5%,---,---,---,---
62,Peru,4 2011,130,29,22.3%,---,---,---,---
63,Eritrea,2 1994,150,33,22.0%,---,---,---,---
"""",Uzbekistan,12 2009,150,33,22.0%,1 2010,100,15,15.0%
64,Guinea,9 2013,114,25,21.9%,---,---,---,---
65,Bosnia and Herzegovina,10 2014,42,9,21.4%,10 2014,15,?,?
66,Greece,6 2012,300,63,21.0%,---,---,---,---
67,Cabo Verde,2 2011,72,15,20.8%,---,---,---,---
"""",Dominican Republic,5 2010,183,38,20.8%,5 2010,32,3,9.4%
"""",Monaco,2 2013,24,5,20.8%,---,---,---,---
68,Pakistan,5 2013,323,67,20.7%,3 2012,104,17,16.3%
69,Madagascar,12 2013,151,31,20.5%,---,---,---,---
70,Cambodia,7 2013,123,25,20.3%,1 2012,61,9,14.8%
71,Albania,6 2013,140,28,20.0%,---,---,---,---
"""",Bulgaria,10 2014,240,48,20.0%,---,---,---,---
"""",Liechtenstein,2 2013,25,5,20.0%,---,---,---,---
72,Colombia,3 2014,166,33,19.9%,3 2014,102,23,22.5%
"""",Saudi Arabia,1 2013,151,30,19.9%,---,---,---,---
73,Bangladesh,1 2014,348,69,19.8%,---,---,---,---
74,Czech Republic,10 2013,200,39,19.5%,10 2014,81,13,16.0%
75,Panama,5 2014,57,11,19.3%,---,---,---,---
"""",United States of America,11 2014,435,84,19.3%,11 2014,100,20,20.0%
76,Kenya,3 2013,350,67,19.1%,3 2013,68,18,26.5%
77,Estonia,3 2011,100,19,19.0%,---,---,---,---
78,Mauritius,5 2010,69,13,18.8%,---,---,---,---
79,Slovakia,3 2012,150,28,18.7%,---,---,---,---
80,San Marino,11 2012,60,11,18.3%,---,---,---,---
81,Sao Tome and Principe,10 2014,55,10,18.2%,---,---,---,---
82,Latvia,10 2014,100,18,18.0%,---,---,---,---
83,Republic of Moldova,11 2014,101,18,17.8%,---,---,---,---
84,Togo,7 2013,91,16,17.6%,---,---,---,---
85,United Arab Emirates,9 2011,40,7,17.5%,---,---,---,---
86,Montenegro,10 2012,81,14,17.3%,---,---,---,---
87,Morocco,11 2011,395,67,17.0%,10 2009,270,6,2.2%
"""",Venezuela,9 2010,165,28,17.0%,---,---,---,---
88,Indonesia,4 2014,555,94,16.9%,---,---,---,---
"""",Tajikistan,2 2010,59,10,16.9%,3 2010,33,4,12.1%
89,Barbados,2 2013,30,5,16.7%,3 2013,21,6,28.6%
"""",Malawi,5 2014,192,32,16.7%,---,---,---,---
"""",Saint Lucia,11 2011,18,3,16.7%,1 2012,11,2,18.2%
90,Democratic People's Republic of Korea,3 2014,687,112,16.3%,---,---,---,---
"""",Republic of Korea,4 2012,300,49,16.3%,---,---,---,---
91,Libya,6 2014,188,30,16.0%,---,---,---,---
92,Chile,11 2013,120,19,15.8%,11 2013,38,7,18.4%
93,Ireland,2 2011,166,26,15.7%,4 2011,60,18,30.0%
94,Azerbaijan,11 2010,122,19,15.6%,---,---,---,---
95,Gabon,12 2011,120,18,15.0%,1 2009,102,17,16.7%
"""",Paraguay,4 2013,80,12,15.0%,4 2013,45,9,20.0%
96,Chad,2 2011,188,28,14.9%,---,---,---,---
"""",Mongolia,6 2012,74,11,14.9%,---,---,---,---
97,Turkey,6 2011,548,79,14.4%,---,---,---,---
98,Malta,3 2013,70,10,14.3%,---,---,---,---
99,Fiji,9 2014,50,7,14.0%,---,---,---,---
100,Somalia,8 2012,275,38,13.8%,---,---,---,---
101,Guinea-Bissau,4 2014,102,14,13.7%,---,---,---,---
102,Russian Federation,12 2011,450,61,13.6%,N.A.,163,13,8.0%
103,Romania,12 2012,407,55,13.5%,12 2012,176,13,7.4%
104,Guatemala,9 2011,158,21,13.3%,---,---,---,---
"""",Niger,1 2011,113,15,13.3%,---,---,---,---
105,Bahamas,5 2012,38,5,13.2%,5 2012,16,4,25.0%
106,Uruguay 2,10 2014,99,13,13.1%,10 2014,31,2,6.5%
107,Saint Vincent and the Grenadines,12 2010,23,3,13.0%,---,---,---,---
108,Dominica,12 2009,31,4,12.9%,---,---,---,---
109,Djibouti,2 2013,55,7,12.7%,---,---,---,---
"""",Jamaica,12 2011,63,8,12.7%,9 2007,21,6,28.6%
110,Cyprus,5 2011,56,7,12.5%,---,---,---,---
111,Sierra Leone,11 2012,124,15,12.1%,---,---,---,---
112,Georgia,10 2012,150,18,12.0%,---,---,---,---
"""",Jordan,1 2013,150,18,12.0%,10 2013,75,9,12.0%
"""",Syrian Arab Republic,5 2012,250,30,12.0%,---,---,---,---
113,Suriname,5 2010,51,6,11.8%,---,---,---,---
114,Ukraine,10 2014,420,49,11.7%,---,---,---,---
115,India,4 2014,543,62,11.4%,1 2014,243,31,12.8%
116,Antigua and Barbuda,6 2014,18,2,11.1%,6 2014,15,5,33.3%
117,Liberia,10 2011,73,8,11.0%,10 2011,30,4,13.3%
118,Ghana,12 2012,275,30,10.9%,---,---,---,---
119,Zambia,9 2011,158,17,10.8%,---,---,---,---
120,Armenia,5 2012,131,14,10.7%,---,---,---,---
121,Democratic Republic of the Congo,11 2011,498,53,10.6%,1 2007,108,6,5.6%
122,Malaysia,5 2013,222,23,10.4%,N.A.,59,17,28.8%
123,Hungary,4 2014,199,20,10.1%,---,---,---,---
124,Brazil,10 2014,513,51,9.9%,10 2014,81,11,13.6%
125,Botswana,10 2014,63,6,9.5%,---,---,---,---
"""",Mali,11 2013,147,14,9.5%,---,---,---,---
126,Cote d'Ivoire,12 2011,254,24,9.4%,---,---,---,---
"""",Gambia,3 2012,53,5,9.4%,---,---,---,---
127,Kiribati,10 2011,46,4,8.7%,---,---,---,---
128,Bhutan,7 2013,47,4,8.5%,4 2013,25,2,8.0%
129,Benin,4 2011,83,7,8.4%,---,---,---,---
130,Japan,12 2012,480,39,8.1%,7 2013,242,39,16.1%
131,Bahrain,11 2014,40,3,7.5%,11 2010,40,11,27.5%
132,Congo,7 2012,136,10,7.4%,10 2014,72,14,19.4%
133,Nigeria,4 2011,360,24,6.7%,4 2011,109,7,6.4%
"""",Saint Kitts and Nevis,1 2010,15,1,6.7%,---,---,---,---
"""",Tuvalu,9 2010,15,1,6.7%,---,---,---,---
134,Swaziland,9 2013,65,4,6.2%,10 2013,30,10,33.3%
135,Samoa,3 2011,49,3,6.1%,---,---,---,---
"""",Thailand,8 2014,197,12,6.1%,---,---,---,---
136,Maldives,3 2014,85,5,5.9%,---,---,---,---
137,Sri Lanka,4 2010,225,13,5.8%,---,---,---,---
138,Myanmar,11 2010,429,24,5.6%,11 2010,224,4,1.8%
139,Nauru,6 2013,19,1,5.3%,---,---,---,---
140,Haiti,11 2010,95,4,4.2%,11 2010,20,0,0.0%
141,Belize,3 2012,32,1,3.1%,3 2012,13,5,38.5%
"""",Iran (Islamic Republic of),5 2012,290,9,3.1%,---,---,---,---
"""",Lebanon,6 2009,128,4,3.1%,---,---,---,---
142,Comoros,12 2009,33,1,3.0%,---,---,---,---
"""",Marshall Islands,11 2011,33,1,3.0%,---,---,---,---
143,Papua New Guinea,6 2012,111,3,2.7%,---,---,---,---
144,Solomon Islands,11 2014,50,1,2.0%,---,---,---,---
145,Kuwait,7 2013,65,1,1.5%,---,---,---,---
146,Oman,10 2011,84,1,1.2%,10 2011,83,15,18.1%
147,Yemen,4 2003,301,1,0.3%,4 2001,111,2,1.8%
148,Micronesia (Federated States of),3 2013,14,0,0.0%,---,---,---,---
"""",Palau,11 2012,16,0,0.0%,11 2012,13,3,23.1%
"""",Qatar,7 2013,35,0,0.0%,---,---,---,---
"""",Tonga,11 2014,26,0,0.0%,---,---,---,---
"""",Vanuatu,10 2012,52,0,0.0%,---,---,---,---
?,Mozambique,10 2014,250,?,?,---,---,---,---
?,Namibia,11 2014,96,?,?,11 2010,26,7,26.9%
