Rank,Country,Elections,Seats*,Women,% W,Elections.1,Seats*.1,Women.1,% W.1
99,Georgia,10 1999,235,17,7.2,---,---,---,---
"""",Uzbekistan,12 1999,250,18,7.2,---,---,---,---
100,Kenya,12 2002,224,16,7.1,---,---,---,---
101,Algeria,05 2002,389,24,6.2,12 1997,144,8,5.6
102,Samoa,03 2001,49,3,6.1,---,---,---,---
103,Benin,03 2003,83,5,6.0,---,---,---,---
"""",Maldives,11 1999,50,3,6.0,---,---,---,---
104,Nepal,05 1999,205,12,5.9,06 2001,60,?,?
"""",Republic of Korea,04 2000,273,16,5.9,---,---,---,---
105,Chad,04 2002,155,9,5.8,---,---,---,---
106,Albania,06 2001,140,8,5.7,---,---,---,---
"""",Fiji,08 2001,70,4,5.7,08 2001,32,?,?
"""",Mauritius,09 2000,70,4,5.7,---,---,---,---
107,Honduras,11 2001,128,7,5.5,---,---,---,---
"""",Jordan,06 2003,110,6,5.5,11 2001,40,?,?
108,Antigua and Barbuda,03 1999,19,1,5.3,03 1999,17,2,11.8
"""",Ukraine,03 2002,450,24,5.3,---,---,---,---
109,Equatorial Guinea,03 1999,80,4,5.0,---,---,---,---
110,Sri Lanka,12 2001,225,10,4.4,---,---,---,---
"""",Turkey,11 2002,550,24,4.4,---,---,---,---
111,Iran (Islamic Rep. of),02 2000,290,12,4.1,---,---,---,---
112,Madagascar,12 2002,160,6,3.8,03 2001,90,10,11.1
113,Mauritania,10 2001,81,3,3.7,04 2002,56,3,5.4
114,Haiti,05 2000,83,3,3.6,05 2000,27,7,25.9
115,Belize,03 2003,29,1,3.4,01 2002,8,?,?
116,Swaziland,10 1998,65,2,3.1,10 1998,30,4,13.3
117,Marshall Islands,11 1999,33,1,3.0,---,---,---,---
118,Egypt,11 2000,454,11,2.4,05 2001,264,15,5.7
119,Lebanon,08 2000,128,3,2.3,---,---,---,---
120,Bangladesh,10 2001,300,6,2.0,---,---,---,---
121,Vanuatu,05 2002,52,1,1.9,---,---,---,---
122,Niger,11 1999,83,1,1.2,---,---,---,---
123,Papua New Guinea,06 2002,109,1,0.9,---,---,---,---
124,Yemen,04 2003,301,1,0.3,---,---,---,---
125,Bahrain,10 2002,40,0,0.0,N.A.,40,5,12.5
"""",Kuwait,07 2003,65,0,0.0,---,---,---,---
"""",Micronesia (Fed. States of),03 1999,14,0,0.0,---,---,---,---
"""",Palau,11 2000,16,0,0.0,11 2000,9,0,0.0
"""",Saudi Arabia,05 2001,120,0,0.0,---,---,---,---
"""",Solomon Islands,12 2001,50,0.0,0.0,---,---,---,---
"""",Tuvalu,07 2002,15,0,0.0,---,---,---,---
"""",United Arab Emirates,12 1997,40,0,0,---,---,---,---
?,Armenia,05 2003,131,?,?,---,---,---,---
?,Barbados,05 2003,30,?,?,05 2003,21,?,?
?,Cambodia,07 2003,122,?,?,03 1999,61,8,13.1
?,Dem. Republic of the Congo,08 2000,300,?,?,---,---,---,---
?,Kiribati,05 2003,42,?,?,---,---,---,---
?,Libyan Arab Jamahiriya,03 1997,760,?,?,---,---,---,---
?,Mexico,07 2003,500,?,?,07 2000,128,20,15.6
?,Nauru,05 2003,18,?,?,---,---,---,---
?,Nigeria,04 2003,360,?,?,04 2003,109,?,?
?,Tonga,03 2002,30,?,?,---,---,---,---
