Rank,Country,Lower or single House,Lower or single House.1,Lower or single House.2,Lower or single House.3,Upper House or Senate,Upper House or Senate.1,Upper House or Senate.2,Upper House or Senate.3
"""",The F.Y.R. of Macedonia,27.04.2014,123,41,33.30%,---,---,---,---
34,Andorra,01.03.2015,28,9,32.10%,---,---,---,---
"""",El Salvador,01.03.2015,84,27,32.10%,---,---,---,---
36,Switzerland,18.10.2015,200,64,32.00%,23.10.2011,46,7,15.20%
37,Algeria,10.05.2012,462,146,31.60%,29.12.2015,143,10,7.00%
38,Zimbabwe,31.07.2013,270,85,31.50%,31.07.2013,80,38,47.50%
39,New Zealand,20.09.2014,121,38,31.40%,---,---,---,---
40,Tunisia,26.10.2014,217,68,31.30%,---,---,---,---
41,Cameroon,30.09.2013,180,56,31.10%,14.04.2013,100,20,20.00%
42,Italy,24.02.2013,630,195,31.00%,24.02.2013,321,91,28.30%
"""",Trinidad and Tobago,07.09.2015,42,13,31.00%,23.09.2015,31,10,32.30%
44,Austria,29.09.2013,183,56,30.60%,N.A.,61,18,29.50%
45,Sudan,13.04.2015,426,130,30.50%,01.06.2015,54,19,35.20%
46,Guyana,11.05.2015,69,21,30.40%,---,---,---,---
47,Philippines,09.05.2016,292,87,29.80%,09.05.2016,24,6,25.00%
48,Nepal,19.11.2013,595,176,29.60%,---,---,---,---
"""",United Kingdom,07.05.2015,649,192,29.60%,N.A.,799,204,25.50%
50,Australia,02.07.2016,150,43,28.70%,02.07.2016,76,28,36.80%
51,South Sudan,04.08.2016,383,109,28.50%,05.08.2011,50,6,12.00%
52,Luxembourg,20.10.2013,60,17,28.30%,---,---,---,---
53,Afghanistan,18.09.2010,249,69,27.70%,10.01.2015,68,18,26.50%
"""",Peru,10.04.2016,130,36,27.70%,---,---,---,---
55,Lao People's Democratic Republic,20.03.2016,149,41,27.50%,---,---,---,---
56,Poland,25.10.2015,460,126,27.40%,25.10.2015,100,13,13.00%
57,Kazakhstan,20.03.2016,107,29,27.10%,01.10.2014,47,3,6.40%
58,Dominican Republic,15.05.2016,190,51,26.80%,15.05.2016,32,3,9.40%
59,Israel,17.03.2015,120,32,26.70%,---,---,---,---
"""",Viet Nam,22.05.2016,494,132,26.70%,---,---,---,---
61,Iraq,30.04.2014,328,87,26.50%,---,---,---,---
62,France,10.06.2012,577,151,26.20%,28.09.2014,348,87,25.00%
63,Canada,19.10.2015,338,88,26.00%,N.A.,88,34,38.60%
64,Honduras,24.11.2013,128,33,25.80%,---,---,---,---
"""",Turkmenistan,15.12.2013,124,32,25.80%,---,---,---,---
66,Suriname,24.05.2015,51,13,25.50%,---,---,---,---
67,Mauritania,23.11.2013,147,37,25.20%,08.11.2009,56,8,14.30%
68,Lesotho,28.02.2015,120,30,25.00%,26.03.2015,33,8,24.20%
69,Equatorial Guinea,26.05.2013,100,24,24.00%,26.05.2013,73,10,13.70%
70,Estonia,01.03.2015,101,24,23.80%,---,---,---,---
"""",Singapore,11.09.2015,101,24,23.80%,---,---,---,---
72,Cabo Verde,20.03.2016,72,17,23.60%,---,---,---,---
"""",China,05.03.2013,2959,699,23.60%,---,---,---,---
74,Montenegro,16.10.2016,81,19,23.50%,---,---,---,---
75,Albania,23.06.2013,140,32,22.90%,---,---,---,---
76,United Arab Emirates,24.09.2011,40,9,22.50%,---,---,---,---
77,Ireland,26.02.2016,158,35,22.20%,25.04.2016,60,18,30.00%
78,Eritrea,01.02.1994,150,33,22.00%,---,---,---,---
79,Dominica,08.12.2014,32,7,21.90%,---,---,---,---
"""",Guinea,28.09.2013,114,25,21.90%,---,---,---,---
81,Republic of Moldova,30.11.2014,101,22,21.80%,---,---,---,---
82,Bosnia and Herzegovina,12.10.2014,42,9,21.40%,29.01.2015,15,2,13.30%
83,Lithuania,09.10.2016,141,30,21.30%,---,---,---,---
84,Seychelles,08.09.2016,33,7,21.20%,---,---,---,---
85,Monaco,10.02.2013,24,5,20.80%,---,---,---,---
86,Pakistan,11.05.2013,340,70,20.60%,05.03.2015,104,19,18.30%
87,Madagascar,20.12.2013,151,31,20.50%,29.12.2015,63,12,19.00%
"""",Morocco,07.10.2016,395,81,20.50%,02.10.2015,120,14,11.70%
89,Bulgaria,05.10.2014,240,49,20.40%,---,---,---,---
90,Cambodia,28.07.2013,123,25,20.30%,29.01.2012,61,10,16.40%
91,Bangladesh,05.01.2014,350,70,20.00%,---,---,---,---
"""",Czech Republic,25.10.2013,200,40,20.00%,07.10.2016,81,16,19.80%
"""",Liechtenstein,03.02.2013,25,5,20.00%,---,---,---,---
"""",Slovakia,05.03.2016,150,30,20.00%,---,---,---,---
95,Colombia,09.03.2014,166,33,19.90%,09.03.2014,102,23,22.50%
"""",Saudi Arabia,15.01.2013,151,30,19.90%,---,---,---,---
97,Greece,20.09.2015,300,59,19.70%,---,---,---,---
"""",Kenya,04.03.2013,350,69,19.70%,04.03.2013,68,18,26.50%
99,United States of America,04.11.2014,432,84,19.40%,04.11.2014,100,20,20.00%
100,Kyrgyzstan,04.10.2015,120,23,19.20%,---,---,---,---
101,Tajikistan,01.03.2015,63,12,19.00%,27.03.2015,32,7,21.90%
102,Panama,04.05.2014,71,13,18.30%,---,---,---,---
103,Sao Tome and Principe,12.10.2014,55,10,18.20%,---,---,---,---
104,Latvia,04.10.2014,100,18,18.00%,---,---,---,---
"""",Zambia,11.08.2016,167,30,18.00%,---,---,---,---
106,Cyprus,22.05.2016,56,10,17.90%,---,---,---,---
107,Togo,25.07.2013,91,16,17.60%,---,---,---,---
108,Jamaica,22.02.2016,63,11,17.50%,10.03.2016,21,5,23.80%
109,Indonesia,09.04.2014,555,95,17.10%,---,---,---,---
"""",Mongolia,29.06.2016,76,13,17.10%,---,---,---,---
111,Republic of Korea,13.04.2016,300,51,17.00%,---,---,---,---
112,Azerbaijan,01.11.2015,125,21,16.80%,---,---,---,---
113,Barbados,21.02.2013,30,5,16.70%,06.03.2013,21,5,23.80%
"""",Malawi,20.05.2014,192,32,16.70%,---,---,---,---
"""",Saint Lucia,06.06.2016,18,3,16.70%,05.01.2012,11,3,27.30%
"""",San Marino,11.11.2012,60,10,16.70%,---,---,---,---
117,Democratic People's Republic of Korea,09.03.2014,687,112,16.30%,---,---,---,---
118,Uruguay,26.10.2014,99,16,16.20%,26.10.2014,31,9,29.00%
119,Fiji,17.09.2014,50,8,16.00%,---,---,---,---
"""",Libya,25.06.2014,188,30,16.00%,---,---,---,---
"""",Uzbekistan,21.12.2014,150,24,16.00%,13.01.2015,100,17,17.00%
122,Chile,17.11.2013,120,19,15.80%,17.11.2013,38,6,15.80%
123,Jordan,20.09.2016,130,20,15.40%,27.09.2016,65,10,15.40%
124,Paraguay,21.04.2013,80,12,15.00%,21.04.2013,45,9,20.00%
125,Chad,13.02.2011,188,28,14.90%,---,---,---,---
"""",Egypt,17.10.2015,596,89,14.90%,---,---,---,---
"""",Turkey,01.11.2015,550,82,14.90%,---,---,---,---
128,Niger,21.02.2016,171,25,14.60%,---,---,---,---
129,Venezuela (Bolivarian Republic of),06.12.2015,167,24,14.40%,---,---,---,---
130,Gabon,17.12.2011,120,17,14.20%,13.12.2014,99,18,18.20%
131,Guatemala,06.09.2015,158,22,13.90%,---,---,---,---
132,Somalia,20.08.2012,275,38,13.80%,---,---,---,---
133,Guinea-Bissau,13.04.2014,102,14,13.70%,---,---,---,---
"""",Romania,09.12.2012,401,55,13.70%,09.12.2012,168,13,7.70%
135,Saint Kitts and Nevis,16.02.2015,15,2,13.30%,---,---,---,---
136,Bahamas,07.05.2012,38,5,13.20%,23.05.2012,16,4,25.00%
"""",Syrian Arab Republic,13.04.2016,250,33,13.20%,---,---,---,---
138,Saint Vincent and the Grenadines,09.12.2015,23,3,13.00%,---,---,---,---
139,Malta,09.03.2013,70,9,12.90%,---,---,---,---
140,Djibouti,22.02.2013,55,7,12.70%,---,---,---,---
"""",Russian Federation,18.09.2016,450,57,12.70%,N.A.,170,29,17.10%
142,Croatia,11.09.2016,151,19,12.60%,---,---,---,---
143,Sierra Leone,17.11.2012,121,15,12.40%,---,---,---,---
144,India,07.04.2014,543,65,12.00%,21.03.2016,244,27,11.10%
"""",Ukraine,26.10.2014,416,50,12.00%,---,---,---,---
146,Mauritius,10.12.2014,69,8,11.60%,---,---,---,---
147,Antigua and Barbuda,12.06.2014,18,2,11.10%,25.06.2014,17,7,41.20%
148,Liberia,11.10.2011,73,8,11.00%,20.12.2014,30,3,10.00%
149,Ghana,07.12.2012,275,30,10.90%,---,---,---,---
150,Armenia,06.05.2012,131,14,10.70%,---,---,---,---
151,Malaysia,05.05.2013,222,23,10.40%,N.A.,64,14,21.90%
152,Hungary,06.04.2014,198,20,10.10%,---,---,---,---
153,Samoa,04.03.2016,50,5,10.00%,---,---,---,---
154,Brazil,05.10.2014,513,51,9.90%,05.10.2014,81,13,16.00%
"""",Myanmar,08.11.2015,433,43,9.90%,08.11.2015,224,23,10.30%
156,Botswana,24.10.2014,63,6,9.50%,---,---,---,---
"""",Japan,14.12.2014,475,45,9.50%,10.07.2016,242,50,20.70%
158,Burkina Faso,29.11.2015,127,12,9.40%,---,---,---,---
"""",Gambia,29.03.2012,53,5,9.40%,---,---,---,---
160,Cote d'Ivoire,11.12.2011,251,23,9.20%,---,---,---,---
161,Marshall Islands,16.11.2015,33,3,9.10%,---,---,---,---
162,Democratic Republic of the Congo,28.11.2011,492,44,8.90%,19.01.2007,108,5,4.60%
163,Mali,24.11.2013,147,13,8.80%,---,---,---,---
164,Bhutan,13.07.2013,47,4,8.50%,23.04.2013,25,2,8.00%
165,Bahrain,22.11.2014,40,3,7.50%,07.12.2014,40,9,22.50%
166,Congo,15.07.2012,136,10,7.40%,12.10.2014,72,14,19.40%
167,Benin,26.04.2015,83,6,7.20%,---,---,---,---
"""",Central African Republic,14.02.2016,139,10,7.20%,---,---,---,---
169,Tuvalu,31.03.2015,15,1,6.70%,---,---,---,---
170,Brunei Darussalam,05.03.2016,31,2,6.50%,---,---,---,---
"""",Kiribati,30.12.2015,46,3,6.50%,---,---,---,---
172,Swaziland,20.09.2013,65,4,6.20%,30.10.2013,30,10,33.30%
173,Thailand,07.08.2014,197,12,6.10%,---,---,---,---
174,Iran (Islamic Republic of),26.02.2016,289,17,5.90%,---,---,---,---
"""",Maldives,22.03.2014,85,5,5.90%,---,---,---,---
176,Sri Lanka,17.08.2015,225,13,5.80%,---,---,---,---
177,Nigeria,28.03.2015,360,20,5.60%,28.03.2015,108,7,6.50%
178,Nauru,09.07.2016,19,1,5.30%,---,---,---,---
179,Belize,07.03.2012,32,1,3.10%,21.03.2012,13,5,38.50%
"""",Lebanon,07.06.2009,128,4,3.10%,---,---,---,---
181,Comoros,25.01.2015,33,1,3.00%,---,---,---,---
182,Papua New Guinea,23.06.2012,111,3,2.70%,---,---,---,---
183,Solomon Islands,19.11.2014,50,1,2.00%,---,---,---,---
184,Kuwait,27.07.2013,65,1,1.50%,---,---,---,---
185,Oman,25.10.2015,85,1,1.20%,07.11.2015,85,14,16.50%
186,Haiti,09.08.2015,92,0,0.00%,09.08.2015,22,0,0.00%
"""",Micronesia (Federated States of),03.03.2015,14,0,0.00%,---,---,---,---
"""",Palau,06.11.2012,16,0,0.00%,06.11.2012,13,3,23.10%
"""",Qatar,01.07.2013,35,0,0.00%,---,---,---,---
"""",Tonga,27.11.2014,26,0,0.00%,---,---,---,---
"""",Vanuatu,22.01.2016,52,0,0.00%,---,---,---,---
"""",Yemen,27.04.2003,275,0,0.00%,28.04.2001,111,2,1.80%
?,Georgia,08.10.2016,150,?,?,---,---,---,---
