Rank,Country,Lower or single House,Lower or single House.1,Lower or single House.2,Lower or single House.3,Upper House or Senate,Upper House or Senate.1,Upper House or Senate.2,Upper House or Senate.3
39,Nepal,11 2013,599,177,29.5%,---,---,---,---
40,United Kingdom,5 2015,650,191,29.4%,N.A.,782,192,24.6%
41,Luxembourg,10 2013,60,17,28.3%,---,---,---,---
42,Afghanistan,9 2010,249,69,27.7%,1 2015,68,18,26.5%
43,Poland,10 2015,460,126,27.4%,10 2015,100,13,13.0%
44,Belarus,9 2012,110,30,27.3%,8 2012,58,19,32.8%
45,Philippines,5 2013,290,79,27.2%,5 2013,24,6,25.0%
46,Australia,9 2013,150,40,26.7%,9 2013,76,29,38.2%
"""",Israel,3 2015,120,32,26.7%,---,---,---,---
47,Iraq,4 2014,328,87,26.5%,---,---,---,---
"""",South Sudan,8 2011,332,88,26.5%,8 2011,50,5,10.0%
48,France,6 2012,577,151,26.2%,9 2014,348,87,25.0%
"""",Kazakhstan,1 2012,107,28,26.2%,10 2014,47,3,6.4%
49,Canada,10 2015,338,88,26.0%,N.A.,83,31,37.3%
50,Honduras,11 2013,128,33,25.8%,---,---,---,---
"""",Turkmenistan,12 2013,124,32,25.8%,---,---,---,---
51,Suriname,5 2015,51,13,25.5%,---,---,---,---
52,Mauritania,11 2013,147,37,25.2%,11 2009,56,8,14.3%
53,Lao People's Democratic Republic,4 2011,132,33,25.0%,---,---,---,---
"""",Lesotho,2 2015,120,30,25.0%,3 2015,33,8,24.2%
54,Viet Nam,5 2011,498,121,24.3%,---,---,---,---
55,Equatorial Guinea,5 2013,100,24,24.0%,5 2013,73,10,13.7%
56,Singapore,9 2015,92,22,23.9%,---,---,---,---
57,Estonia,3 2015,101,24,23.8%,---,---,---,---
58,China,3 2013,2959,699,23.6%,---,---,---,---
59,Lithuania,10 2012,141,33,23.4%,---,---,---,---
60,United Arab Emirates,9 2011,40,9,22.5%,---,---,---,---
61,Peru,4 2011,130,29,22.3%,---,---,---,---
62,Eritrea,2 1994,150,33,22.0%,---,---,---,---
63,Dominica,12 2014,32,7,21.9%,---,---,---,---
"""",Guinea,9 2013,114,25,21.9%,---,---,---,---
64,Republic of Moldova,11 2014,101,22,21.8%,---,---,---,---
65,Bosnia and Herzegovina,10 2014,42,9,21.4%,1 2015,15,2,13.3%
66,Cabo Verde,2 2011,72,15,20.8%,---,---,---,---
"""",Dominican Republic,5 2010,183,38,20.8%,5 2010,32,3,9.4%
"""",Monaco,2 2013,24,5,20.8%,---,---,---,---
67,Albania,6 2013,140,29,20.7%,---,---,---,---
68,Pakistan,5 2013,340,70,20.6%,3 2015,104,19,18.3%
69,Madagascar,12 2013,151,31,20.5%,---,---,---,---
70,Bulgaria,10 2014,240,49,20.4%,---,---,---,---
71,Cambodia,7 2013,123,25,20.3%,1 2012,61,10,16.4%
72,Bangladesh,1 2014,350,70,20.0%,---,---,---,---
"""",Czech Republic,10 2013,200,40,20.0%,10 2014,81,15,18.5%
"""",Liechtenstein,2 2013,25,5,20.0%,---,---,---,---
73,Colombia,3 2014,166,33,19.9%,3 2014,102,23,22.5%
"""",Saudi Arabia,1 2013,151,30,19.9%,---,---,---,---
74,Greece,9 2015,300,59,19.7%,---,---,---,---
"""",Kenya,3 2013,350,69,19.7%,3 2013,68,18,26.5%
75,United States of America,11 2014,434,84,19.4%,11 2014,100,20,20.0%
76,Kyrgyzstan,10 2015,120,23,19.2%,---,---,---,---
77,Tajikistan,3 2015,63,12,19.0%,3 2015,32,2,6.3%
78,Slovakia,3 2012,150,28,18.7%,---,---,---,---
79,Panama,5 2014,71,13,18.3%,---,---,---,---
80,Sao Tome and Principe,10 2014,55,10,18.2%,---,---,---,---
81,Latvia,10 2014,100,18,18.0%,---,---,---,---
82,Togo,7 2013,91,16,17.6%,---,---,---,---
83,Montenegro,10 2012,81,14,17.3%,---,---,---,---
84,Indonesia,4 2014,555,95,17.1%,---,---,---,---
85,Morocco,11 2011,395,67,17.0%,10 2015,120,14,11.7%
"""",Venezuela,9 2010,165,28,17.0%,---,---,---,---
86,Azerbaijan,11 2015,124,21,16.9%,---,---,---,---
87,Barbados,2 2013,30,5,16.7%,3 2013,21,5,23.8%
"""",Malawi,5 2014,192,32,16.7%,---,---,---,---
"""",Saint Lucia,11 2011,18,3,16.7%,1 2012,11,3,27.3%
"""",San Marino,11 2012,60,10,16.7%,---,---,---,---
88,Democratic People's Republic of Korea,3 2014,687,112,16.3%,---,---,---,---
"""",Ireland,2 2011,166,27,16.3%,4 2011,60,18,30.0%
"""",Republic of Korea,4 2012,300,49,16.3%,---,---,---,---
89,Uruguay,10 2014,99,16,16.2%,10 2014,31,9,29.0%
90,Fiji,9 2014,50,8,16.0%,---,---,---,---
"""",Libya,6 2014,188,30,16.0%,---,---,---,---
"""",Uzbekistan,12 2014,150,24,16.0%,1 2015,100,17,17.0%
91,Chile,11 2013,120,19,15.8%,11 2013,38,6,15.8%
92,Croatia,11 2015,151,23,15.2%,---,---,---,---
93,Paraguay,4 2013,80,12,15.0%,4 2013,45,9,20.0%
94,Chad,2 2011,188,28,14.9%,---,---,---,---
"""",Turkey,11 2015,550,82,14.9%,---,---,---,---
95,Mongolia,6 2012,76,11,14.5%,---,---,---,---
96,Gabon,12 2011,120,17,14.2%,12 2014,99,18,18.2%
97,Guatemala,9 2015,158,22,13.9%,---,---,---,---
98,Somalia,8 2012,275,38,13.8%,---,---,---,---
99,Guinea-Bissau,4 2014,102,14,13.7%,---,---,---,---
"""",Romania,12 2012,401,55,13.7%,12 2012,168,13,7.7%
100,Russian Federation,12 2011,450,61,13.6%,N.A.,170,29,17.1%
101,Niger,1 2011,113,15,13.3%,---,---,---,---
"""",Saint Kitts and Nevis,2 2015,15,2,13.3%,---,---,---,---
102,Bahamas,5 2012,38,5,13.2%,5 2012,16,4,25.0%
103,Saint Vincent and the Grenadines,12 2010,23,3,13.0%,---,---,---,---
104,Malta,3 2013,70,9,12.9%,---,---,---,---
105,Djibouti,2 2013,55,7,12.7%,---,---,---,---
"""",Jamaica,12 2011,63,8,12.7%,9 2007,21,6,28.6%
"""",Myanmar,11 2015,323,41,12.7%,11 2015,168,23,13.7%
"""",Zambia,9 2011,158,20,12.7%,---,---,---,---
106,Cyprus,5 2011,56,7,12.5%,---,---,---,---
107,Sierra Leone,11 2012,121,15,12.4%,---,---,---,---
"""",Syrian Arab Republic,5 2012,250,31,12.4%,---,---,---,---
108,Ukraine,10 2014,422,51,12.1%,---,---,---,---
109,India,4 2014,543,65,12.0%,1 2014,243,31,12.8%
"""",Jordan,1 2013,150,18,12.0%,10 2013,75,8,10.7%
110,Mauritius,12 2014,69,8,11.6%,---,---,---,---
111,Georgia,10 2012,150,17,11.3%,---,---,---,---
112,Antigua and Barbuda,6 2014,18,2,11.1%,6 2014,17,7,41.2%
113,Liberia,10 2011,73,8,11.0%,12 2014,30,3,10.0%
114,Ghana,12 2012,275,30,10.9%,---,---,---,---
115,Armenia,5 2012,131,14,10.7%,---,---,---,---
116,Malaysia,5 2013,222,23,10.4%,N.A.,65,15,23.1%
117,Hungary,4 2014,198,20,10.1%,---,---,---,---
118,Brazil,10 2014,513,51,9.9%,10 2014,81,13,16.0%
119,Botswana,10 2014,63,6,9.5%,---,---,---,---
"""",Japan,12 2014,475,45,9.5%,7 2013,242,38,15.7%
120,Burkina Faso,11 2015,127,12,9.4%,---,---,---,---
"""",Gambia,3 2012,53,5,9.4%,---,---,---,---
121,Cote d'Ivoire,12 2011,251,23,9.2%,---,---,---,---
122,Marshall Islands,11 2015,33,3,9.1%,---,---,---,---
123,Democratic Republic of the Congo,11 2011,492,44,8.9%,1 2007,108,5,4.6%
124,Mali,11 2013,147,13,8.8%,---,---,---,---
125,Kiribati,10 2011,46,4,8.7%,---,---,---,---
126,Bhutan,7 2013,47,4,8.5%,4 2013,25,2,8.0%
127,Bahrain,11 2014,40,3,7.5%,12 2014,40,9,22.5%
128,Congo,7 2012,136,10,7.4%,10 2014,72,14,19.4%
129,Benin,4 2015,83,6,7.2%,---,---,---,---
130,Tuvalu,3 2015,15,1,6.7%,---,---,---,---
131,Swaziland,9 2013,65,4,6.2%,10 2013,30,10,33.3%
132,Samoa,3 2011,49,3,6.1%,---,---,---,---
"""",Thailand,8 2014,197,12,6.1%,---,---,---,---
133,Maldives,3 2014,85,5,5.9%,---,---,---,---
134,Nigeria,3 2015,360,20,5.6%,3 2015,108,7,6.5%
135,Nauru,6 2013,19,1,5.3%,---,---,---,---
136,Sri Lanka,8 2015,225,11,4.9%,---,---,---,---
137,Haiti,11 2010,95,4,4.2%,11 2010,20,0,0.0%
138,Belize,3 2012,32,1,3.1%,3 2012,13,5,38.5%
"""",Iran (Islamic Republic of),5 2012,290,9,3.1%,---,---,---,---
"""",Lebanon,6 2009,128,4,3.1%,---,---,---,---
139,Comoros,1 2015,33,1,3.0%,---,---,---,---
140,Papua New Guinea,6 2012,111,3,2.7%,---,---,---,---
141,Solomon Islands,11 2014,50,1,2.0%,---,---,---,---
142,Kuwait,7 2013,65,1,1.5%,---,---,---,---
143,Oman,10 2015,85,1,1.2%,11 2015,85,13,15.3%
144,Micronesia (Federated States of),3 2015,14,0,0.0%,---,---,---,---
"""",Palau,11 2012,16,0,0.0%,11 2012,13,3,23.1%
"""",Qatar,7 2013,35,0,0.0%,---,---,---,---
"""",Tonga,11 2014,26,0,0.0%,---,---,---,---
"""",Vanuatu,10 2012,52,0,0.0%,---,---,---,---
"""",Yemen,4 2003,300,0,0.0%,4 2001,111,2,1.8%
?,Argentina,10 2015,257,?,?,10 2015,72,?,?
