Rank,Country,Elections,Seats*,Women,% W,Elections.1,Seats*.1,Women.1,% W.1
122,Chad,4 2002,155,8,5.2%,---,---,---,---
123,Lebanon,5 2005,128,6,4.7%,---,---,---,---
124,Kiribati,8 2007,46,2,4.3%,---,---,---,---
125,Haiti,2 2006,98,4,4.1%,2 2006,30,4,13.3%
"""",Iran (Islamic Republic of),2 2004,290,12,4.1%,---,---,---,---
126,Vanuatu,7 2004,52,2,3.8%,---,---,---,---
127,Belize,3 2003,30,1,3.3%,3 2003,13,5,38.5%
"""",Tonga,3 2005,30,1,3.3%,---,---,---,---
128,Comoros,4 2004,33,1,3.0%,---,---,---,---
"""",Marshall Islands,11 2007,33,1,3.0%,---,---,---,---
129,Bhutan,1 2006,150,4,2.7%,12 2007,15,3,20.0%
130,Bahrain,11 2006,40,1,2.5%,12 2006,40,10,25.0%
131,Egypt,11 2005,442,8,1.8%,6 2007,264,18,6.8%
"""",Sao Tome and Principe,3 2006,55,1,1.8%,---,---,---,---
132,Kuwait,6 2006,65,1,1.5%,---,---,---,---
133,Papua New Guinea,6 2007,109,1,0.9%,---,---,---,---
134,Yemen,4 2003,301,1,0.3%,4 2001,111,2,1.8%
135,Micronesia (Federated States of),3 2005,14,0,0.0%,---,---,---,---
"""",Nauru,8 2007,18,0,0.0%,---,---,---,---
"""",Oman,10 2007,84,0,0.0%,11 2007,70,14,20.0%
"""",Palau,11 2004,16,0,0.0%,11 2004,9,0,0.0%
"""",Qatar,6 2006,35,0,0.0%,---,---,---,---
"""",Saudi Arabia,4 2005,150,0,0.0%,---,---,---,---
"""",Solomon Islands,4 2006,50,0,0.0%,---,---,---,---
"""",Tuvalu,8 2006,15,0,0.0%,---,---,---,---
