Rank,Country,Elections,Seats*,Women,% W,Elections.1,Seats*.1,Women.1,% W.1
"""",Monaco,2 2008,24,6,25.0%,---,---,---,---
36,Singapore,5 2006,94,23,24.5%,---,---,---,---
37,Liechtenstein,3 2005,25,6,24.0%,---,---,---,---
38,Seychelles,5 2007,34,8,23.5%,---,---,---,---
39,Honduras,11 2005,128,30,23.4%,---,---,---,---
40,Luxembourg,6 2004,60,14,23.3%,---,---,---,---
41,Mexico,7 2006,500,116,23.2%,02.07.2,128,23,18.0%
42,Tunisia,10 2004,189,43,22.8%,03.07.2,111,17,15.3%
43,Lithuania,10 2004,141,32,22.7%,---,---,---,---
44,Pakistan,2 2008,338,76,22.5%,06.03.2,100,17,17.0%
"""",United Arab Emirates,12 2006,40,9,22.5%,---,---,---,---
45,Mauritania,11 2006,95,21,22.1%,21.01.2,56,9,16.1%
46,Eritrea,2 1994,150,33,22.0%,---,---,---,---
"""",Senegal,6 2007,150,33,22.0%,19.08.2,100,40,40.0%
47,Ethiopia,5 2005,529,116,21.9%,03.10.2,112,21,18.8%
48,Republic of Moldova,3 2005,101,22,21.8%,---,---,---,---
49,Bulgaria,6 2005,240,52,21.7%,---,---,---,---
50,Serbia,5 2008,250,54,21.6%,---,---,---,---
51,Canada,1 2006,305,65,21.3%,N.A.,93,32,34.4%
"""",China,3 2008,2987,637,21.3%,---,---,---,---
"""",Italy,4 2008,630,134,21.3%,13.04.2,322,58,18.0%
52,Croatia,11 2007,153,32,20.9%,---,---,---,---
53,Estonia,3 2007,101,21,20.8%,---,---,---,---
54,Philippines,5 2007,239,49,20.5%,14.05.2,23,4,17.4%
55,Poland,10 2007,460,93,20.2%,21.10.2,100,8,8.0%
56,Democratic People's Republic of Korea,8 2003,687,138,20.1%,---,---,---,---
57,Latvia,10 2006,100,20,20.0%,---,---,---,---
58,Dominican Republic,5 2006,178,35,19.7%,16.05.2,32,1,3.1%
59,United Kingdom,5 2005,646,126,19.5%,N.A.,750,148,19.7%
60,Dominica,5 2005,31,6,19.4%,---,---,---,---
61,Guinea,6 2002,114,22,19.3%,---,---,---,---
"""",Slovakia,6 2006,150,29,19.3%,---,---,---,---
62,Venezuela,12 2005,167,31,18.6%,---,---,---,---
63,Nicaragua,11 2006,92,17,18.5%,---,---,---,---
64,France,6 2007,577,105,18.2%,26.09.2,330,60,18.2%
"""",Saint Vincent and the Grenadines,12 2005,22,4,18.2%,---,---,---,---
65,Cape Verde,1 2006,72,13,18.1%,---,---,---,---
"""",Sudan,8 2005,443,80,18.1%,31.08.2,50,3,6.0%
66,Tajikistan,2 2005,63,11,17.5%,24.03.2,34,8,23.5%
"""",Uzbekistan,12 2004,120,21,17.5%,17.01.2,100,15,15.0%
67,Mauritius,7 2005,70,12,17.1%,---,---,---,---
68,Bolivia,12 2005,130,22,16.9%,18.12.2,27,1,3.7%
69,United States of America,11 2006,435,73,16.8%,07.11.2,100,16,16.0%
70,El Salvador,3 2006,84,14,16.7%,---,---,---,---
"""",Gabon,12 2001,120,20,16.7%,09.02.2,91,14,15.4%
"""",Panama,5 2004,78,13,16.7%,---,---,---,---
71,Turkmenistan,12 2004,50,8,16.0%,---,---,---,---
72,Kazakhstan,8 2007,107,17,15.9%,19.08.2,47,2,4.3%
73,Czech Republic,6 2006,200,31,15.5%,20.10.2,81,11,13.6%
74,Burkina Faso,5 2007,111,17,15.3%,---,---,---,---
75,Zambia,9 2006,158,24,15.2%,---,---,---,---
76,Angola,9 1992,220,33,15.0%,---,---,---,---
"""",Chile,12 2005,120,18,15.0%,11.12.2,38,2,5.3%
77,Greece,9 2007,300,44,14.7%,---,---,---,---
78,Cyprus,5 2006,56,8,14.3%,---,---,---,---
79,Israel,3 2006,120,17,14.2%,---,---,---,---
80,Guinea-Bissau,3 2004,100,14,14.0%,---,---,---,---
"""",Russian Federation,12 2007,450,63,14.0%,N.A.,169,8,4.7%
81,Cameroon,7 2007,180,25,13.9%,---,---,---,---
82,Djibouti,2 2008,65,9,13.8%,---,---,---,---
83,Republic of Korea,4 2008,299,41,13.7%,---,---,---,---
84,Grenada,7 2008,15,2,13.3%,27.11.2,10,4,40.0%
"""",Ireland,5 2007,166,22,13.3%,23.07.2,60,13,21.7%
"""",Jamaica,9 2007,60,8,13.3%,27.09.2,21,3,14.3%
"""",Zimbabwe,3 2008,210,28,13.3%,29.03.2,93,?,#VALEU
85,Sierra Leone,8 2007,121,16,13.2%,---,---,---,---
86,Malawi,5 2004,193,25,13.0%,---,---,---,---
87,Liberia,10 2005,64,8,12.5%,11.10.2,30,5,16.7%
"""",Paraguay,4 2008,80,10,12.5%,20.04.2,45,7,15.6%
88,Niger,12 2004,113,14,12.4%,---,---,---,---
"""",Syrian Arab Republic,4 2007,250,31,12.4%,---,---,---,---
89,Bahamas,5 2007,41,5,12.2%,23.05.2,15,9,60.0%
"""",Slovenia,10 2004,90,11,12.2%,21.11.2,40,1,2.5%
90,Uruguay,10 2004,99,12,12.1%,31.10.2,31,4,12.9%
91,Guatemala,9 2007,158,19,12.0%,---,---,---,---
"""",Maldives,1 2005,50,6,12.0%,---,---,---,---
92,Bosnia and Herzegovina,10 2006,42,5,11.9%,14.03.2,15,2,13.3%
93,San Marino,6 2006,60,7,11.7%,---,---,---,---
"""",Thailand,12 2007,480,56,11.7%,02.03.2,150,24,16.0%
94,Indonesia,4 2004,550,64,11.6%,---,---,---,---
95,Azerbaijan,11 2005,123,14,11.4%,---,---,---,---
96,Botswana,10 2004,63,7,11.1%,---,---,---,---
"""",Hungary,4 2006,386,43,11.1%,---,---,---,---
"""",Montenegro,9 2006,81,9,11.1%,---,---,---,---
"""",Saint Lucia,12 2006,18,2,11.1%,09.01.2,11,3,27.3%
"""",Togo,10 2007,81,9,11.1%,---,---,---,---
97,Ghana,12 2004,230,25,10.9%,---,---,---,---
98,Benin,3 2003,83,9,10.8%,---,---,---,---
"""",Malaysia,3 2008,222,24,10.8%,N.A.,59,17,28.8%
"""",Swaziland,10 2003,65,7,10.8%,31.10.2,30,11,36.7%
99,Antigua and Barbuda,3 2004,19,2,10.5%,23.03.2,17,4,23.5%
"""",Central African Republic,3 2005,105,11,10.5%,---,---,---,---
"""",Morocco,9 2007,325,34,10.5%,08.09.2,270,3,1.1%
100,Mali,7 2007,147,15,10.2%,---,---,---,---
101,Barbados,1 2008,30,3,10.0%,12.02.2,21,4,19.0%
102,Gambia,1 2002,53,5,9.4%,---,---,---,---
"""",Japan,9 2005,480,45,9.4%,29.07.2,242,44,18.2%
"""",Romania,11 2004,330,31,9.4%,28.11.2,137,14,10.2%
103,Armenia,5 2007,131,12,9.2%,---,---,---,---
104,India,4 2004,541,49,9.1%,02.07.2,243,24,9.9%
"""",Turkey,7 2007,549,50,9.1%,---,---,---,---
105,Brazil,10 2006,513,46,9.0%,01.10.2,81,10,12.3%
106,Cote d'Ivoire,12 2000,203,18,8.9%,---,---,---,---
"""",Kenya,12 2007,224,20,8.9%,---,---,---,---
107,Malta,3 2008,69,6,8.7%,---,---,---,---
108,Bhutan,3 2008,47,4,8.5%,31.12.2,25,6,24.0%
109,Colombia,3 2006,166,14,8.4%,12.03.2,102,12,11.8%
"""",Democratic Republic of the Congo,7 2006,500,42,8.4%,19.01.2,108,5,4.6%
110,Samoa,3 2006,49,4,8.2%,---,---,---,---
"""",Somalia,8 2004,256,21,8.2%,---,---,---,---
"""",Ukraine,9 2007,450,37,8.2%,---,---,---,---
111,Madagascar,9 2007,127,10,7.9%,20.04.2,33,4,12.1%
112,Algeria,5 2007,389,30,7.7%,28.12.2,136,4,2.9%
"""",Libyan Arab Jamahiriya,3 2006,468,36,7.7%,---,---,---,---
113,Congo,6 2007,137,10,7.3%,02.10.2,60,8,13.3%
114,Albania,7 2005,140,10,7.1%,---,---,---,---
115,Nigeria,4 2007,358,25,7.0%,21.04.2,109,9,8.3%
116,Saint Kitts and Nevis,10 2004,15,1,6.7%,---,---,---,---
117,Jordan,11 2007,110,7,6.4%,29.11.2,55,7,12.7%
118,Equatorial Guinea,5 2008,100,6,6.0%,---,---,---,---
"""",Georgia,5 2008,150,9,6.0%,---,---,---,---
119,Sri Lanka,4 2004,225,13,5.8%,---,---,---,---
120,Chad,4 2002,155,8,5.2%,---,---,---,---
121,Lebanon,5 2005,128,6,4.7%,---,---,---,---
122,Kiribati,8 2007,46,2,4.3%,---,---,---,---
123,Haiti,2 2006,98,4,4.1%,07.02.2,18,2,11.1%
124,Vanuatu,7 2004,52,2,3.8%,---,---,---,---
125,Kuwait 2,5 2008,65,2,3.1%,---,---,---,---
"""",Tonga,4 2008,32,1,3.1%,---,---,---,---
126,Comoros,4 2004,33,1,3.0%,---,---,---,---
"""",Marshall Islands,11 2007,33,1,3.0%,---,---,---,---
"""",Mongolia,6 2008,66,2,3.0%,---,---,---,---
127,Iran (Islamic Republic of),3 2008,286,8,2.8%,---,---,---,---
128,Bahrain,11 2006,40,1,2.5%,15.12.2,40,10,25.0%
129,Egypt,11 2005,442,8,1.8%,11.06.2,264,18,6.8%
"""",Sao Tome and Principe,3 2006,55,1,1.8%,---,---,---,---
130,Papua New Guinea,6 2007,109,1,0.9%,---,---,---,---
131,Yemen,4 2003,301,1,0.3%,28.04.2,111,2,1.8%
132,Belize,2 2008,32,0,0.0%,14.03.2,13,5,38.5%
"""",Micronesia (Federated States of),3 2005,14,0,0.0%,---,---,---,---
"""",Nauru,4 2008,18,0,0.0%,---,---,---,---
"""",Oman,10 2007,84,0,0.0%,04.11.2,70,14,20.0%
"""",Palau,11 2004,16,0,0.0%,02.11.2,9,0,0.0%
"""",Qatar,7 2008,35,0,0.0%,---,---,---,---
"""",Saudi Arabia,4 2005,150,0,0.0%,---,---,---,---
"""",Solomon Islands,4 2006,50,0,0.0%,---,---,---,---
"""",Tuvalu,8 2006,15,0,0.0%,---,---,---,---
133,Cambodia,7 2003,123,?,?,22.01.2,61,9,14.8%
