Rank,Country,Lower or single House,Lower or single House.1,Lower or single House.2,Lower or single House.3,Upper House or Senate,Upper House or Senate.1,Upper House or Senate.2,Upper House or Senate.3
65,Mauritius,5 2010,69,13,18.8%,---,---,---,---
66,Bangladesh,12 2008,345,64,18.6%,---,---,---,---
67,Israel,2 2009,120,22,18.3%,---,---,---,---
68,Sao Tome and Principe,8 2010,55,10,18.2%,---,---,---,---
69,Cape Verde,1 2006,72,13,18.1%,---,---,---,---
70,Honduras,11 2009,128,23,18.0%,---,---,---,---
"""",Indonesia,4 2009,560,101,18.0%,---,---,---,---
71,Kazakhstan,8 2007,107,19,17.8%,10 2008,47,2,4.3%
72,Greece,10 2009,300,52,17.3%,---,---,---,---
73,Turkmenistan,12 2008,125,21,16.8%,---,---,---,---
"""",United States of America 2,11 2008,435,73,16.8%,11 2008,98,15,15.3%
74,San Marino,11 2008,60,10,16.7%,---,---,---,---
75,Albania,6 2009,140,23,16.4%,---,---,---,---
76,Democratic People's Republic of Korea,3 2009,687,107,15.6%,---,---,---,---
77,Burkina Faso,5 2007,111,17,15.3%,---,---,---,---
"""",Slovakia,6 2010,150,23,15.3%,---,---,---,---
78,Uruguay,10 2009,99,15,15.2%,10 2009,31,4,12.9%
79,Zimbabwe,3 2008,214,32,15.0%,3 2008,99,24,24.2%
80,Gabon,1 2009,116,17,14.7%,1 2009,102,18,17.6%
"""",Republic of Korea,4 2008,299,44,14.7%,---,---,---,---
81,Slovenia,9 2008,90,13,14.4%,11 2007,40,1,2.5%
82,Chile,12 2009,120,17,14.2%,12 2009,38,5,13.2%
83,Russian Federation,12 2007,450,63,14.0%,N.A.,169,8,4.7%
"""",Zambia,9 2006,157,22,14.0%,---,---,---,---
84,Cameroon,7 2007,180,25,13.9%,---,---,---,---
"""",Ireland,5 2007,165,23,13.9%,7 2007,59,13,22.0%
85,Djibouti,2 2008,65,9,13.8%,---,---,---,---
86,Swaziland,9 2008,66,9,13.6%,10 2008,30,12,40.0%
87,Grenada,7 2008,15,2,13.3%,8 2008,13,4,30.8%
"""",Jamaica,9 2007,60,8,13.3%,9 2007,21,3,14.3%
"""",Thailand,12 2007,473,63,13.3%,3 2008,150,24,16.0%
88,Sierra Leone,8 2007,121,16,13.2%,---,---,---,---
89,Cyprus,5 2006,56,7,12.5%,---,---,---,---
"""",Liberia,10 2005,64,8,12.5%,10 2005,30,5,16.7%
"""",Paraguay,4 2008,80,10,12.5%,4 2008,45,7,15.6%
90,Syrian Arab Republic,4 2007,250,31,12.4%,---,---,---,---
91,Bahamas,5 2007,41,5,12.2%,5 2007,15,5,33.3%
92,Guatemala,9 2007,158,19,12.0%,---,---,---,---
93,Azerbaijan,11 2005,123,14,11.4%,---,---,---,---
"""",Romania,11 2008,334,38,11.4%,11 2008,137,8,5.8%
94,Japan,8 2009,480,54,11.3%,7 2010,242,44,18.2%
95,Montenegro,3 2009,81,9,11.1%,---,---,---,---
"""",Saint Lucia,12 2006,18,2,11.1%,1 2007,11,4,36.4%
"""",Togo,10 2007,81,9,11.1%,---,---,---,---
96,Benin,3 2003,83,9,10.8%,---,---,---,---
"""",India,4 2009,545,59,10.8%,7 2008,233,21,9.0%
97,Antigua and Barbuda,3 2009,19,2,10.5%,4 2009,17,5,29.4%
"""",Morocco,9 2007,325,34,10.5%,10 2009,270,6,2.2%
98,Mali,7 2007,147,15,10.2%,---,---,---,---
99,Barbados,1 2008,30,3,10.0%,2 2008,21,7,33.3%
"""",Equatorial Guinea,5 2008,100,10,10.0%,---,---,---,---
"""",Guinea-Bissau,11 2008,100,10,10.0%,---,---,---,---
100,Malaysia,3 2008,222,22,9.9%,N.A.,64,18,28.1%
101,Kenya,12 2007,224,22,9.8%,---,---,---,---
"""",Suriname,5 2010,51,5,9.8%,---,---,---,---
102,Central African Republic,3 2005,104,10,9.6%,---,---,---,---
103,Armenia,5 2007,131,12,9.2%,---,---,---,---
104,Hungary,4 2010,386,35,9.1%,---,---,---,---
"""",Turkey,7 2007,549,50,9.1%,---,---,---,---
105,Cote d'Ivoire,12 2000,203,18,8.9%,---,---,---,---
106,Brazil,10 2006,513,45,8.8%,10 2006,81,10,12.3%
107,Malta,3 2008,69,6,8.7%,---,---,---,---
108,Bhutan,3 2008,47,4,8.5%,12 2007,25,6,24.0%
"""",Panama,5 2009,71,6,8.5%,---,---,---,---
109,Democratic Republic of the Congo,7 2006,500,42,8.4%,1 2007,108,5,4.6%
110,Ghana,12 2008,230,19,8.3%,---,---,---,---
111,Samoa,3 2006,49,4,8.2%,---,---,---,---
112,Ukraine,9 2007,450,36,8.0%,---,---,---,---
113,Botswana,10 2009,63,5,7.9%,---,---,---,---
114,Algeria,5 2007,389,30,7.7%,12 2009,136,7,5.1%
"""",Kuwait,5 2009,65,5,7.7%,---,---,---,---
"""",Libyan Arab Jamahiriya,3 2009,468,36,7.7%,---,---,---,---
115,Gambia,1 2002,53,4,7.5%,---,---,---,---
116,Congo,6 2007,137,10,7.3%,8 2008,70,9,12.9%
117,Nigeria,4 2007,358,25,7.0%,4 2007,109,9,8.3%
118,Somalia,8 2004,546,37,6.8%,---,---,---,---
119,Saint Kitts and Nevis,1 2010,15,1,6.7%,---,---,---,---
120,Georgia,5 2008,138,9,6.5%,---,---,---,---
"""",Maldives,5 2009,77,5,6.5%,---,---,---,---
121,Jordan,11 2007,110,7,6.4%,12 2009,55,7,12.7%
122,Sri Lanka,4 2010,225,12,5.3%,---,---,---,---
123,Chad,4 2002,155,8,5.2%,---,---,---,---
124,Kiribati,8 2007,46,2,4.3%,---,---,---,---
125,Haiti,2 2006,98,4,4.1%,4 2009,29,2,6.9%
126,Mongolia,6 2008,76,3,3.9%,---,---,---,---
127,Vanuatu,9 2008,52,2,3.8%,---,---,---,---
128,Lebanon,6 2009,128,4,3.1%,---,---,---,---
"""",Tonga 3,4 2008,32,1,3.1%,---,---,---,---
129,Comoros,12 2009,33,1,3.0%,---,---,---,---
"""",Marshall Islands,11 2007,33,1,3.0%,---,---,---,---
130,Iran (Islamic Republic of),3 2008,290,8,2.8%,---,---,---,---
131,Bahrain,11 2006,40,1,2.5%,12 2006,40,10,25.0%
132,Egypt,11 2005,454,8,1.8%,6 2010,264,?,?
133,Papua New Guinea,6 2007,109,1,0.9%,---,---,---,---
134,Yemen,4 2003,301,1,0.3%,4 2001,111,2,1.8%
135,Belize,2 2008,32,0,0.0%,3 2008,13,5,38.5%
"""",Micronesia (Federated States of),3 2009,14,0,0.0%,---,---,---,---
"""",Nauru,6 2010,18,0,0.0%,---,---,---,---
"""",Oman,10 2007,84,0,0.0%,11 2007,72,14,19.4%
"""",Palau,11 2008,16,0,0.0%,11 2008,13,2,15.4%
"""",Qatar,7 2010,35,0,0.0%,---,---,---,---
"""",Saudi Arabia,2 2009,150,0,0.0%,---,---,---,---
"""",Solomon Islands,8 2010,50,0,0.0%,---,---,---,---
"""",Tuvalu,9 2010,15,0,0.0%,---,---,---,---
136,Afghanistan,9 2010,249,?,?,2 2010,102,28,27.5%
"""",Colombia,3 2010,166,?,?,3 2010,102,?,?
"""",Venezuela,9 2010,165,?,?,---,---,---,---
