Rank,Country,Elections,Seats*,Women,% W,Elections.1,Seats*.1,Women.1,% W.1
46,Bolivia,06 2002,130,24,18.5,06 2002,27,4,14.8
47,Burundi,06 1993,179,33,18.4,01 2002,53,10,18.9
48,Peru,04 2001,120,22,17.5,---,---,---,---
"""",The f.Y.R. of Macedonia,09 2002,120,22,18.3,---,---,---,---
49,United Kingdom,06 2001,659,118,17.9,N.A.,713,117,16.4
50,Philippines,05 2001,214,38,17.8,05 2001,24,3,12.5
51,Suriname,05 2000,51,9,17.6,---,---,---,---
52,Dominican Republic,05 2002,150,26,17.3,05 2002,32,2,6.3
53,Botswana,10 1999,47,8,17.0,---,---,---,---
"""",Czech Republic,06 2002,200,34,17.0,10 2002,81,10,12.3
54,Bosnia and Herzegovina,10 2002,42,7,16.7,11 2002,15,0,0.0
"""",Luxembourg,06 1999,60,10,16.7,---,---,---,---
"""",San Marino,06 2001,60,10,16.7,---,---,---,---
55,Ecuador,10 2002,100,16,16.0,---,---,---,---
"""",Singapore,11 2001,94,15,16.0,---,---,---,---
56,Angola,09 1992,220,34,15.5,---,---,---,---
57,Israel,01 2003,120,18,15.0,---,---,---,---
58,Sierra Leone,05 2002,124,18,14.5,---,---,---,---
59,Andorra,03 2001,28,4,14.3,---,---,---,---
"""",United States of America,11 2002,435,62,14.3,11 2002,100,13,13
60,Barbados,05 2003,30,4,13.3,05 2003,21,5,23.8
"""",Ireland,05 2002,166,22,13.3,07 2002,60,10,16.7
"""",Saint Kitts and Nevis,03 2000,15,2,13.3,---,---,---,---
61,Gambia,01 2002,53,7,13.2,---,---,---,---
62,Republic of Moldova,02 2001,101,13,12.9,---,---,---,---
63,Tajikistan,02 2000,63,8,12.7,03 2000,34,4,11.8
64,Chile,12 2001,120,15,12.5,12 2001,49,2,4.1
65,France,06 2002,574,70,12.2,09 2001,321,35,10.9
"""",Slovenia,10 2000,90,11,12.2,---,---,---,---
66,Uruguay,10 1999,99,12,12.1,10 1999,31,3,9.7
67,Colombia,03 2002,166,20,12.0,03 2002,102,9,8.8
"""",Liechtenstein,02 2001,25,3,12.0,---,---,---,---
"""",Syrian Arab Republic,03 2003,250,30,12.0,---,---,---,---
"""",Zambia,12 2001,158,19,12.0,---,---,---,---
68,Burkina Faso,05 2002,111,13,11.7,---,---,---,---
"""",Jamaica,10 2002,60,7,11.7,10 2002,21,4,19.0
"""",Lesotho,05 2002,120,14,11.7,N.A.,33,12,36.4
69,Italy,05 2001,618,71,11.5,05 2001,321,26,8.1
"""",Tunisia,10 1999,182,21,11.5,---,---,---,---
70,Cape Verde,01 2001,72,8,11.1,---,---,---,---
"""",Saint Lucia,12 2001,18,2,11.1,12 2001,11,4,36.4
71,Djibouti,01 2003,65,7,10.8,---,---,---,---
"""",Morocco,09 2002,325,35,10.8,9 2001,270,1,0.4
"""",Swaziland,10 2003,65,7,10.8,10 2003,30,9,30.0
72,Cyprus,05 2001,56,6,10.7,---,---,---,---
"""",El Salvador,03 2003,84,9,10.7,---,---,---,---
"""",Romania,11 2000,345,37,10.7,11 2000,140,8,5.7
73,Lithuania,10 2000,141,15,10.6,---,---,---,---
74,Azerbaijan,11 2000,124,13,10.5,---,---,---,---
"""",Mongolia,07 2000,76,8,10.5,---,---,---,---
75,Kazakhstan,10 1999,77,8,10.4,10 2002,39,2,5.1
"""",Malaysia,11 1999,193,20,10.4,03 1998,69,18,26.1
76,Belarus,10 2000,97,10,10.3,12 2000,61,19,31.1
77,Mali,07 2002,147,15,10.2,---,---,---,---
78,Kyrgyzstan,02 2000,60,6,10.0,02 2000,45,1,2.2
"""",Zimbabwe,06 2000,150,15,10.0,---,---,---,---
79,Panama,05 1999,71,7,9.9,---,---,---,---
80,Cambodia,07 2003,123,12,9.8,03 1999,61,8,13.1
"""",Hungary,04 2002,386,38,9.8,---,---,---,---
81,Sudan,12 2000,360,35,9.7,---,---,---,---
"""",Venezuela,07 2000,165,16,9.7,---,---,---,---
82,Bhutan,N.A.,150,14,9.3,---,---,---,---
"""",Malawi,06 1999,193,18,9.3,---,---,---,---
83,Gabon,12 2001,119,11,9.2,02 2003,91,12,13.2
"""",Thailand,01 2001,500,46,9.2,03 2000,200,21,10.5
84,Sao Tome and Principe,03 2002,55,5,9.1,---,---,---,---
85,Ghana,12 2000,200,18,9.0,---,---,---,---
86,Cameroon,06 2002,180,16,8.9,---,---,---,---
87,India,09 1999,543,48,8.8,11 2002,242,25,10.3
"""",Paraguay,04 2003,80,7,8.8,04 2003,45,4,8.9
88,Greece,04 2000,300,26,8.7,---,---,---,---
89,Brazil,10 2002,513,44,8.6,10 2002,81,10,12.3
90,Congo,05 2002,129,11,8.5,07 2002,60,9,15.0
"""",Cote d'Ivoire,12 2000,223,19,8.5,---,---,---,---
91,Guatemala,11 2003,158,13,8.2,---,---,---,---
92,Indonesia,06 1999,500,40,8.0,---,---,---,---
93,Serbia and Montenegro****,09 2003,126,10,7.9,---,---,---,---
94,Liberia,07 1997,64,5,7.8,07 1997,26,5,19.2
95,Ethiopia,05 2000,547,42,7.7,05 2000,120,10,8.3
"""",Malta,04 2003,65,5,7.7,---,---,---,---
96,Russian Federation,12 1999,449,34,7.6,N.A.,178,6,3.4
97,Togo,10 2002,81,6,7.4,---,---,---,---
98,Georgia,10 1999,235,17,7.2,---,---,---,---
"""",Uzbekistan,12 1999,250,18,7.2,---,---,---,---
99,Japan,11 2003,480,34,7.1,07 2001,247,38,15.4
"""",Kenya,12 2002,224,16,7.1,---,---,---,---
100,Belize,03 2003,30,2,6.7,03 2003,13,3,23.1
101,Algeria,05 2002,389,24,6.2,12 1997,144,8,5.6
102,Samoa,03 2001,49,3,6.1,---,---,---,---
103,Benin,03 2003,83,5,6.0,---,---,---,---
"""",Maldives,11 1999,50,3,6.0,---,---,---,---
104,Nepal,05 1999,205,12,5.9,06 2001,60,?,?
"""",Republic of Korea,04 2000,273,16,5.9,---,---,---,---
105,Chad,04 2002,155,9,5.8,---,---,---,---
106,Albania,06 2001,140,8,5.7,---,---,---,---
"""",Fiji,08 2001,70,4,5.7,08 2001,32,?,?
"""",Mauritius,09 2000,70,4,5.7,---,---,---,---
107,Honduras,11 2001,128,7,5.5,---,---,---,---
"""",Jordan,06 2003,110,6,5.5,11 2003,55,7,12.7
108,Antigua and Barbuda,03 1999,19,1,5.3,03 1999,17,2,11.8
"""",Ukraine,03 2002,450,24,5.3,---,---,---,---
109,Equatorial Guinea,03 1999,80,4,5.0,---,---,---,---
110,Nigeria,04 2003,360,17,4.9,04 2003,107,3,2.8
111,Armenia,05 2003,131,6,4.6,---,---,---,---
112,Sri Lanka,12 2001,225,10,4.4,---,---,---,---
"""",Turkey,11 2002,550,24,4.4,---,---,---,---
113,Iran (Islamic Rep. of),02 2000,290,12,4.1,---,---,---,---
114,Madagascar,12 2002,160,6,3.8,03 2001,90,10,11.1
115,Mauritania,10 2001,81,3,3.7,04 2002,56,3,5.4
116,Haiti,05 2000,83,3,3.6,05 2000,27,7,25.9
117,Marshall Islands,11 2003,33,1,3.0,---,---,---,---
118,Egypt,11 2000,454,11,2.4,05 2001,264,15,5.7
119,Lebanon,08 2000,128,3,2.3,---,---,---,---
120,Bangladesh,10 2001,300,6,2.0,---,---,---,---
121,Vanuatu,05 2002,52,1,1.9,---,---,---,---
122,Niger,11 1999,83,1,1.2,---,---,---,---
123,Papua New Guinea,06 2002,109,1,0.9,---,---,---,---
124,Yemen,04 2003,301,1,0.3,---,---,---,---
125,Bahrain,10 2002,40,0,0.0,11 2002,40,6,15.0
"""",Kuwait,07 2003,65,0,0.0,---,---,---,---
"""",Micronesia (Fed. States of),03 1999,14,0,0.0,---,---,---,---
"""",Palau,11 2000,16,0,0.0,11 2000,9,0,0.0
"""",Saudi Arabia,05 2001,120,0,0.0,---,---,---,---
"""",Solomon Islands,12 2001,50,0.0,0.0,---,---,---,---
"""",Tuvalu,07 2002,15,0,0.0,---,---,---,---
"""",United Arab Emirates,12 1997,40,0,0,---,---,---,---
?,Dem. Republic of the Congo,08 2000,300,?,?,---,---,---,---
?,Kiribati,05 2003,42,?,?,---,---,---,---
?,Libyan Arab Jamahiriya,03 1997,760,?,?,---,---,---,---
?,Nauru,05 2003,18,?,?,---,---,---,---
?,Tonga,03 2002,30,?,?,---,---,---,---
