Rank,Country,Lower or single House,Lower or single House.1,Lower or single House.2,Lower or single House.3,Upper House or Senate,Upper House or Senate.1,Upper House or Senate.2,Upper House or Senate.3
38,Ethiopia,5 2010,547,152,27.8%,5 2010,135,22,16.3%
39,Afghanistan,9 2010,249,69,27.7%,1 2015,102,18,17.6%
40,El Salvador,3 2012,84,23,27.4%,---,---,---,---
41,Belarus,9 2012,110,30,27.3%,8 2012,58,19,32.8%
42,Philippines,5 2013,290,79,27.2%,5 2013,24,6,25.0%
43,Australia,9 2013,150,40,26.7%,9 2013,76,29,38.2%
"""",Lesotho,5 2012,120,32,26.7%,6 2012,33,9,27.3%
44,Iraq,4 2014,328,87,26.5%,---,---,---,---
"""",South Sudan,8 2011,332,88,26.5%,8 2011,50,5,10.0%
45,France,6 2012,577,151,26.2%,9 2014,348,87,25.0%
"""",Kazakhstan,1 2012,107,28,26.2%,10 2014,47,3,6.4%
46,Croatia,12 2011,151,39,25.8%,---,---,---,---
"""",Honduras,11 2013,128,33,25.8%,---,---,---,---
"""",Turkmenistan,12 2013,124,32,25.8%,---,---,---,---
47,Singapore,5 2011,99,25,25.3%,---,---,---,---
48,Canada,5 2011,306,77,25.2%,N.A.,88,34,38.6%
"""",Mauritania,11 2013,147,37,25.2%,11 2009,56,8,14.3%
49,Lao People's Democratic Republic,4 2011,132,33,25.0%,---,---,---,---
50,Sudan,4 2010,354,86,24.3%,5 2010,29,5,17.2%
"""",Viet Nam,5 2011,498,121,24.3%,---,---,---,---
51,Poland,10 2011,460,111,24.1%,10 2011,100,13,13.0%
52,Equatorial Guinea,5 2013,100,24,24.0%,5 2013,73,10,13.7%
53,China,3 2013,2959,699,23.6%,---,---,---,---
54,Lithuania,10 2012,141,33,23.4%,---,---,---,---
55,Kyrgyzstan,10 2010,120,28,23.3%,---,---,---,---
56,Greece,1 2015,300,69,23.0%,---,---,---,---
57,United Kingdom,5 2010,650,148,22.8%,N.A.,791,191,24.1%
58,Israel,1 2013,120,27,22.5%,---,---,---,---
59,Peru,4 2011,130,29,22.3%,---,---,---,---
60,Eritrea,2 1994,150,33,22.0%,---,---,---,---
61,Dominica,12 2014,32,7,21.9%,---,---,---,---
"""",Guinea,9 2013,114,25,21.9%,---,---,---,---
62,Bosnia and Herzegovina,10 2014,42,9,21.4%,1 2015,15,2,13.3%
63,Cabo Verde,2 2011,72,15,20.8%,---,---,---,---
"""",Dominican Republic,5 2010,183,38,20.8%,5 2010,32,3,9.4%
"""",Monaco,2 2013,24,5,20.8%,---,---,---,---
"""",Republic of Moldova,11 2014,101,21,20.8%,---,---,---,---
64,Albania,6 2013,140,29,20.7%,---,---,---,---
"""",Pakistan,5 2013,323,67,20.7%,3 2012,104,17,16.3%
65,Madagascar,12 2013,151,31,20.5%,---,---,---,---
66,Bulgaria,10 2014,240,49,20.4%,---,---,---,---
67,Cambodia,7 2013,123,25,20.3%,1 2012,61,10,16.4%
68,Bangladesh,1 2014,350,70,20.0%,---,---,---,---
"""",Liechtenstein,2 2013,25,5,20.0%,---,---,---,---
69,Colombia,3 2014,166,33,19.9%,3 2014,102,23,22.5%
"""",Saudi Arabia,1 2013,151,30,19.9%,---,---,---,---
70,Estonia,3 2011,101,20,19.8%,---,---,---,---
71,Kenya,3 2013,350,69,19.7%,3 2013,68,18,26.5%
72,United States of America,11 2014,434,84,19.4%,11 2014,100,20,20.0%
73,Panama,5 2014,57,11,19.3%,---,---,---,---
74,Czech Republic,10 2013,200,38,19.0%,10 2014,81,15,18.5%
75,Slovakia,3 2012,150,28,18.7%,---,---,---,---
76,Sao Tome and Principe,10 2014,55,10,18.2%,---,---,---,---
77,Latvia,10 2014,100,18,18.0%,---,---,---,---
78,Togo,7 2013,91,16,17.6%,---,---,---,---
79,United Arab Emirates,9 2011,40,7,17.5%,---,---,---,---
80,Montenegro,10 2012,81,14,17.3%,---,---,---,---
81,Indonesia,4 2014,555,95,17.1%,---,---,---,---
82,Morocco,11 2011,395,67,17.0%,10 2009,270,6,2.2%
"""",Venezuela,9 2010,165,28,17.0%,---,---,---,---
83,Tajikistan,2 2010,59,10,16.9%,3 2010,33,4,12.1%
84,Barbados,2 2013,30,5,16.7%,3 2013,21,5,23.8%
"""",Malawi,5 2014,192,32,16.7%,---,---,---,---
"""",Saint Lucia,11 2011,18,3,16.7%,1 2012,11,3,27.3%
"""",San Marino,11 2012,60,10,16.7%,---,---,---,---
85,Democratic People's Republic of Korea,3 2014,687,112,16.3%,---,---,---,---
"""",Ireland,2 2011,166,27,16.3%,4 2011,60,18,30.0%
"""",Republic of Korea,4 2012,300,49,16.3%,---,---,---,---
86,Libya,6 2014,188,30,16.0%,---,---,---,---
"""",Uzbekistan,12 2014,150,24,16.0%,1 2015,100,17,17.0%
87,Chile,11 2013,120,19,15.8%,11 2013,38,6,15.8%
88,Azerbaijan,11 2010,122,19,15.6%,---,---,---,---
89,Paraguay,4 2013,80,12,15.0%,4 2013,45,9,20.0%
90,Chad,2 2011,188,28,14.9%,---,---,---,---
"""",Mongolia,6 2012,74,11,14.9%,---,---,---,---
91,Turkey,6 2011,548,79,14.4%,---,---,---,---
92,Gabon,12 2011,120,17,14.2%,12 2014,102,19,18.6%
93,Fiji,9 2014,50,7,14.0%,---,---,---,---
94,Somalia,8 2012,275,38,13.8%,---,---,---,---
95,Guinea-Bissau,4 2014,102,14,13.7%,---,---,---,---
"""",Romania,12 2012,401,55,13.7%,12 2012,168,13,7.7%
96,Russian Federation,12 2011,450,61,13.6%,N.A.,170,29,17.1%
97,Burkina Faso,11 2014,90,12,13.3%,---,---,---,---
"""",Guatemala,9 2011,158,21,13.3%,---,---,---,---
"""",Niger,1 2011,113,15,13.3%,---,---,---,---
98,Bahamas,5 2012,38,5,13.2%,5 2012,16,4,25.0%
99,Uruguay,10 2014,99,13,13.1%,10 2014,31,2,6.5%
100,Saint Vincent and the Grenadines,12 2010,23,3,13.0%,---,---,---,---
101,Malta,3 2013,70,9,12.9%,---,---,---,---
102,Djibouti,2 2013,55,7,12.7%,---,---,---,---
"""",Jamaica,12 2011,63,8,12.7%,9 2007,21,6,28.6%
"""",Zambia,9 2011,158,20,12.7%,---,---,---,---
103,Cyprus,5 2011,56,7,12.5%,---,---,---,---
104,Sierra Leone,11 2012,121,15,12.4%,---,---,---,---
"""",Syrian Arab Republic,5 2012,250,31,12.4%,---,---,---,---
105,India,4 2014,543,65,12.0%,1 2014,243,31,12.8%
"""",Jordan,1 2013,150,18,12.0%,10 2013,75,8,10.7%
106,Suriname,5 2010,51,6,11.8%,---,---,---,---
"""",Ukraine,10 2014,422,50,11.8%,---,---,---,---
107,Mauritius,12 2014,69,8,11.6%,---,---,---,---
108,Georgia,10 2012,150,17,11.3%,---,---,---,---
109,Antigua and Barbuda,6 2014,18,2,11.1%,6 2014,17,7,41.2%
110,Liberia,10 2011,73,8,11.0%,12 2014,30,3,10.0%
111,Ghana,12 2012,275,30,10.9%,---,---,---,---
112,Armenia,5 2012,131,14,10.7%,---,---,---,---
113,Malaysia,5 2013,222,23,10.4%,N.A.,59,17,28.8%
114,Hungary,4 2014,198,20,10.1%,---,---,---,---
115,Botswana,10 2014,63,6,9.5%,---,---,---,---
"""",Japan,12 2014,475,45,9.5%,7 2013,242,38,15.7%
"""",Mali,11 2013,147,14,9.5%,---,---,---,---
116,Gambia,3 2012,53,5,9.4%,---,---,---,---
117,Cote d'Ivoire,12 2011,251,23,9.2%,---,---,---,---
118,Brazil,10 2014,513,46,9.0%,10 2014,81,11,13.6%
119,Democratic Republic of the Congo,11 2011,492,44,8.9%,1 2007,108,5,4.6%
120,Kiribati,10 2011,46,4,8.7%,---,---,---,---
121,Bhutan,7 2013,47,4,8.5%,4 2013,25,2,8.0%
122,Benin,4 2011,83,7,8.4%,---,---,---,---
123,Bahrain,11 2014,40,3,7.5%,12 2014,40,9,22.5%
124,Congo,7 2012,136,10,7.4%,10 2014,72,14,19.4%
125,Nigeria,4 2011,360,24,6.7%,4 2011,109,7,6.4%
"""",Saint Kitts and Nevis,1 2010,15,1,6.7%,---,---,---,---
"""",Tuvalu,9 2010,15,1,6.7%,---,---,---,---
126,Myanmar,11 2010,420,26,6.2%,11 2010,215,4,1.9%
"""",Swaziland,9 2013,65,4,6.2%,10 2013,30,10,33.3%
127,Samoa,3 2011,49,3,6.1%,---,---,---,---
"""",Thailand,8 2014,197,12,6.1%,---,---,---,---
128,Maldives,3 2014,85,5,5.9%,---,---,---,---
129,Sri Lanka,4 2010,225,13,5.8%,---,---,---,---
130,Nauru,6 2013,19,1,5.3%,---,---,---,---
131,Haiti,11 2010,95,4,4.2%,11 2010,20,0,0.0%
132,Belize,3 2012,32,1,3.1%,3 2012,13,5,38.5%
"""",Iran (Islamic Republic of),5 2012,290,9,3.1%,---,---,---,---
"""",Lebanon,6 2009,128,4,3.1%,---,---,---,---
133,Marshall Islands,11 2011,33,1,3.0%,---,---,---,---
134,Papua New Guinea,6 2012,111,3,2.7%,---,---,---,---
135,Solomon Islands,11 2014,50,1,2.0%,---,---,---,---
136,Kuwait,7 2013,65,1,1.5%,---,---,---,---
137,Oman,10 2011,84,1,1.2%,10 2011,83,15,18.1%
138,Yemen,4 2003,301,1,0.3%,4 2001,111,2,1.8%
139,Micronesia (Federated States of),3 2013,14,0,0.0%,---,---,---,---
"""",Palau,11 2012,16,0,0.0%,11 2012,13,3,23.1%
"""",Qatar,7 2013,35,0,0.0%,---,---,---,---
"""",Tonga,11 2014,26,0,0.0%,---,---,---,---
"""",Vanuatu,10 2012,52,0,0.0%,---,---,---,---
?,Comoros,1 2015,33,?,?,---,---,---,---
