Rank,Country,Elections,Seats,Women,% W,Elections.1,Seats.1,Women.1,% W.1
"""",Syrian Arab Republic,11 1998,250,26,10.4,---,---,---,---
68,Belarus,10 2000,97,10,10.3,12 2000,61,19,31.1
69,Kyrgyzstan,02 2000,60,6,10.0,02 2000,45,1,2.2
"""",Zimbabwe,06 2000,150,15,10.0,---,---,---,---
70,Panama,05 1999,71,7,9.9,---,---,---,---
71,Italy,05 2001,630,62,9.8,05 2001,321,25,7.8
72,Sudan,12 2000,360,35,9.7,---,---,---,---
"""",Venezuela,07 2000,165,16,9.7,---,---,---,---
73,El Salvador,03 2000,84,8,9.5,---,---,---,---
74,Bhutan,N.A.,150,14,9.3,---,---,---,---
"""",Malawi,06 1999,193,18,9.3,---,---,---,---
75,Gabon,12 2001,119,11,9.2,01 1997,91,12,13.2
"""",Malta,09 1998,65,6,9.2,---,---,---,---
"""",Thailand,01 2001,500,46,9.2,03 2000,200,21,10.5
76,Ghana,12 2000,200,18,9.0,---,---,---,---
77,Guatemala,11 1999,113,10,8.8,---,---,---,---
"""",Guinea,06 1995,114,10,8.8,---,---,---,---
"""",India,09 1999,543,48,8.8,03 2000,242,22,9.1
"""",Sierra Leone,02 1996,80,7,8.8,---,---,---,---
78,Greece,04 2000,300,26,8.7,---,---,---,---
79,Cote d'Ivoire,12 2000,223,19,8.5,---,---,---,---
80,Burkina Faso,05 1997,111,9,8.1,12 1995,162,21,13.0
81,Indonesia,06 1999,500,40,8.0,---,---,---,---
"""",Madagascar,05 1998,150,12,8.0,03 2001,90,?,?
82,Guinea-Bissau,11 1999,102,8,7.8,---,---,---,---
"""",Liberia,07 1997,64,5,7.8,07 1997,26,5,19.2
83,Ethiopia,05 2000,547,42,7.7,05 2000,120,10,8.3
84,Iraq,03 2000,250,19,7.6,---,---,---,---
"""",Russian Federation,12 1999,449,34,7.6,N.A.,178,6,3.4
85,Cambodia,07 1998,122,9,7.4,03 1999,61,8,13.1
86,Central African Republic,11 1998,109,8,7.3,---,---,---,---
"""",Japan,06 2000,480,35,7.3,07 2001,247,38,15.4
87,Georgia,10 1999,235,17,7.2,---,---,---,---
"""",Uzbekistan,12 1999,250,18,7.2,---,---,---,---
"""",Yugoslavia,09 2000,138,10,7.2,09 2000,40,1,2.5
88,Bosnia and Herzegovina,11 2000,42,3,7.1,11 2000,15,0,0.0
89,Belize,08 1998,29,2,6.9,06 1993,8,3,37.5
90,Brazil,10 1998,513,35,6.8,10 1998,80,5,6.3
91,The f.Y.R. of Macedonia,10 1998,120,8,6.7,---,---,---,---
92,Samoa,03 2001,49,3,6.1,---,---,---,---
93,Benin,03 1999,83,5,6.0,---,---,---,---
"""",Maldives,11 1999,50,3,6.0,---,---,---,---
94,Nepal,05 1999,205,12,5.9,06 2001,60,?,?
"""",Republic of Korea,04 2000,273,16,5.9,---,---,---,---
95,Albania,06 2001,140,8,5.7,---,---,---,---
"""",Fiji Islands,08 2001,70,4,5.7,08 2001,32,?,?
"""",Gambia,01 2002,53,3,5.7,---,---,---,---
"""",Mauritius,09 2000,70,4,5.7,---,---,---,---
96,Cameroon,05 1997,180,10,5.6,---,---,---,---
97,Honduras,11 2001,128,7,5.5,---,---,---,---
98,Antigua and Barbuda,03 1999,19,1,5.3,03 1999,17,2,11.8
99,Equatorial Guinea,03 1999,80,4,5.0,---,---,---,---
100,Togo,03 1999,81,4,4.9,---,---,---,---
101,Kiribati,09 1998,42,2,4.8,---,---,---,---
102,Sri Lanka,12 2001,225,10,4.4,---,---,---,---
103,Turkey,04 1999,550,23,4.2,---,---,---,---
104,Iran (Islamic Rep. of),02 2000,290,12,4.1,---,---,---,---
105,Lesotho,05 1998,79,3,3.8,05 1998,33,9,27.3
106,Haiti,05 2000,83,3,3.6,05 2000,27,7,25.9
"""",Kenya,12 1997,224,8,3.6,---,---,---,---
107,Algeria,06 1997,380,13,3.4,12 1997,144,8,5.6
"""",Nigeria,02 1999,351,12,3.4,02 1999,108,3,2.8
108,Armenia,05 1999,131,4,3.1,---,---,---,---
"""",Swaziland,10 1998,65,2,3.1,10 1998,30,4,13.3
109,Marshall Islands,11 1999,33,1,3.0,---,---,---,---
110,Paraguay,05 1998,80,2,2.5,05 1998,45,8,17.8
111,Chad,01 1997,125,3,2.4,---,---,---,---
"""",Egypt,11 2000,454,11,2.4,---,---,---,---
112,Lebanon,08 2000,128,3,2.3,---,---,---,---
113,Bangladesh,10 2001,300,6,2.0,---,---,---,---
114,Papua New Guinea,06 1997,109,2,1.8,---,---,---,---
115,Jordan,11 1997,80,1,1.3,11 1997,40,3,7.5
116,Niger,11 1999,83,1,1.2,---,---,---,---
117,Yemen,04 1997,299,2,0.7,---,---,---,---
118,Morocco,11 1997,325,2,0.6,9 2001,270,1,0.4
119,Djibouti,12 1997,65,0,0.0,---,---,---,---
"""",Kuwait,07 1999,65,0,0.0,---,---,---,---
"""",Micronesia (Fed. States of),03 1999,14,0,0.0,---,---,---,---
"""",Nauru,04 2000,18,0,0.0,---,---,---,---
"""",Palau,11 2000,16,0,0.0,11 2000,9,0,0.0
"""",Solomon Islands,12 2001,50,0,0.0,---,---,---,---
"""",Tuvalu,03 1998,15,0,0.0,---,---,---,---
"""",United Arab Emirates,12 1997,40,0,0,---,---,---,---
"""",Vanuatu,03 1998,52,0,0.0,---,---,---,---
?,Colombia,03 2002,166,?,?,03 2002,102,9,8.8
?,Costa Rica,02 2002,57,?,?,---,---,---,---
?,Hungary,04 2002,386,?,?,---,---,---,---
?,Lao People's Democratic Rep.,02 2002,109,?,?,---,---,---,---
?,Libyan Arab Jamahiriya,03 1997,760,?,?,---,---,---,---
?,Mauritania,10 2001,81,?,?,04 2000,56,1,1.8
?,Sao Tome and Principe,03 2002,55,?,?,---,---,---,---
?,Tonga,03 2002,30,?,?,---,---,---,---
?,Ukraine,03 2002,450,?,?,---,---,---,---
