Rank,Country,Elections,Seats,Women,% W,Elections.1,Seats.1,Women.1,% W.1
27,Australia,03 1996,148,23,15.5,03 1996,76,23,30.3
28,Czech Republic,05 1996,200,30,15.0,11 1996,81,?,?
29,Slovakia,10 1994,150,22,14.7,---,---,---,---
"""",Zimbabwe,04 1995,150,22,14.7,---,---,---,---
30,Mexico,07 1997,500,71,14.2,07 1997,128,16,12.5
31,Ireland,11 1992,166,23,13.9,02 1993,60,8,13.3
32,Kazakstan,12 1995,67,9,13.4,12 1995,47,4,8.5
33,Bulgaria,12 1994,240,32,13.3,---,---,---,---
"""",Saint Kitts and Nevis,07 1995,15,2,13.3,---,---,---,---
34,Poland,09 1993,460,60,13.0,09 1993,100,13,13.0
"""",Portugal,10 1995,230,30,13.0,---,---,---,---
35,Estonia,03 1995,101,13,12.9,---,---,---,---
36,Indonesia,06 1992,500,63,12.6,---,---,---,---
37,Guatemala,11 1995,80,10,12.5,---,---,---,---
38,Cameroon,03 1992,180,22,12.2,---,---,---,---
39,Albania,05 1996,140,17,12.1,---,---,---,---
40,Azerbaijan,11 1995,125,15,12.0,---,---,---,---
"""",Belgium,05 1995,150,18,12.0,05 1995,71,16,22.5
41,Colombia,03 1994,163,19,11.7,03 1994,102,7,6.9
"""",United States of America,11 1996,435,51,11.7,11 1996,100,9,9.0
"""",Jamaica,03 1993,60,7,11.7,03 1993,21,3,14.3
"""",Dominican Republic,05 1994,120,14,11.7,05 1994,30,1,3.3
"""",San Marino,05 1993,60,7,11.7,---,---,---,---
"""",Senegal,05 1993,120,14,11.7,---,---,---,---
42,Hungary,05 1994,386,44,11.4,---,---,---,---
43,Cape Verde,12 1995,72,8,11.1,---,---,---,---
"""",Italy,04 1996,630,70,11.1,04 1996,326,26,8.0
"""",Trinidad and Tobago,11 1995,36,4,11.1,11 1995,31,9,29.0
44,Nicaragua,10 1996,93,10,10.8,---,---,---,---
"""",Peru,04 1995,120,13,10.8,---,---,---,---
"""",Philippines,05 1995,203,22,10.8,05 1995,24,4,16.7
45,Barbados,09 1994,28,3,10.7,09 1994,21,6,28.6
"""",El Salvador,05 1994,84,9,10.7,---,---,---,---
46,Russian Federation,12 1995,450,46,10.2,01 1996,178,1,0.6
47,Guinea-Bissau,07 1994,100,10,10.0,---,---,---,---
48,Panama,05 1994,72,7,9.7,---,---,---,---
"""",Zambia,11 1996,155,15,9.7,---,---,---,---
49,Syrian Arab Republic,08 1994,250,24,9.6,---,---,---,---
50,Angola,09 1992,220,21,9.5,---,---,---,---
"""",United Kingdom,04 1992,651,62,9.5,01 1995,1190,82,6.9
"""",Saint Vincent & the Grenadines,02 1994,21,2,9.5,---,---,---,---
51,Dominica,06 1995,32,3,9.4,---,---,---,---
51,Lao People's Democratic Rep.,12 1997,85,8,9.4,---,---,---,---
52,Bangladesh,06 1996,330,30,9.1,---,---,---,---
53,Latvia,09 1995,100,9,9.0,---,---,---,---
54,Equatorial Guinea,11 1993,80,7,8.8,---,---,---,---
55,Botswana,10 1994,47,4,8.5,---,---,---,---
56,Côte d'Ivoire,11 1995,168,14,8.3,---,---,---,---
57,Bahamas,08 1992,49,4,8.2,08 1992,16,3,18.8
58,Liechtenstein,10 1993,25,2,8.0,---,---,---,---
59,Croatia,10 1995,127,10,7.9,02 1993,68,3,4.4
"""",Mongolia,06 1996,76,6,7.9,---,---,---,---
60,Honduras,11 1993,128,10,7.8,---,---,---,---
"""",Malaysia,04 1995,192,15,7.8,04 1995,69,12,17.4
"""",Slovenia,11 1996,90,7,7.8,---,---,---,---
61,Tuvalu,11 1993,13,1,7.7,---,---,---,---
62,Mauritius,12 1995,66,5,7.6,---,---,---,---
63,Chile,12 1993,120,9,7.5,12 1993,46,3,6.5
"""",Israel,05 1996,120,9,7.5,---,---,---,---
64,Sao Tome and Principe,10 1994,55,4,7.3,---,---,---,---
65,Benin,03 1995,83,6,7.2,---,---,---,---
"""",India,04 1996,545,39,7.2,04 1996,245,19,7.8
66,Uruguay,11 1994,99,7,7.1,11 1994,31,2,6.5
67,Guinea,06 1995,114,8,7.0,---,---,---,---
"""",Romania,11 1996,328,23,7.0,11 1996,143,3,2.1
68,Bolivia,06 1993,130,9,6.9,06 1993,27,1,3.7
69,Georgia,11 1995,235,16,6.8,---,---,---,---
70,Tunisia,03 1994,163,11,6.7,---,---,---,---
71,Algeria,05 1994,183,12,6.6,---,---,---,---
"""",Brazil,10 1994,513,34,6.6,10 1994,81,6,7.4
72,France,03 1993,577,37,6.4,09 1995,321,18,5.6
73,Armenia,07 1995,190,12,6.3,---,---,---,---
"""",Greece,09 1996,300,19,6.3,---,---,---,---
"""",Maldives,12 1994,48,3,6.3,---,---,---,---
"""",Sierra Leone,02 1996,80,5,6.3,---,---,---,---
74,Uzbekistan,12 1994,250,15,6.0,---,---,---,---
75,Venezuela,12 1993,203,12,5.9,12 1993,50,4,8.0
76,Cambodia,05 1993,120,7,5.8,---,---,---,---
"""",Malta,10 1996,69,4,5.8,---,---,---,---
77,Liberia,03 1994,35,2,5.7,---,---,---,---
78,Malawi,05 1994,177,10,5.6,---,---,---,---
"""",Monaco,01 1993,18,1,5.6,---,---,---,---
"""",Nauru,11 1995,18,1,5.6,---,---,---,---
"""",Thailand,11 1996,393,22,5.6,03 1996,260,21,8.1
79,Cyprus,05 1996,56,3,5.4,---,---,---,---
80,Antigua and Barbuda,03 1994,19,1,5.3,03 1994,17,3,17.6
"""",Sudan,03 1996,400,21,5.3,---,---,---,---
"""",Sri Lanka,08 1994,225,12,5.3,---,---,---,---
81,Zaire,04 1994,738,37,5.0,---,---,---,---
82,Republic of Moldova,02 1994,104,5,4.8,---,---,---,---
83,Japan,10 1996,500,23,4.6,07 1995,252,35,13.9
"""",Lesotho,03 1993,65,3,4.6,05 1993,33,8,24.2
84,Fiji,02 1994,70,3,4.3,02 1994,34,3,8.8
85,Samoa,04 1996,49,2,4.1,---,---,---,---
86,Iran (Islamic Rep. of),03 1996,248,10,4.0,---,---,---,---
87,Ukraine,12 1995,450,17,3.8,---,---,---,---
88,Burkina Faso,05 1992,107/td>,4,3.7,12 1995,176,21,11.9
"""",Madagascar,06 1993,134,5,3.7,---,---,---,---
89,Andorra,12 1993,28,1,3.6,---,---,---,---
89,Haiti,06 1995,83,3,3.6,04 1997,27,0,0.0
90,Central African Republic,09 1993,85,3,3.5,---,---,---,---
91,Belize,06 1993,29,1,3.4,06 1993,8,3,37.5
"""",Nepal,11 1994,205,7,3.4,06 1995,60,5,8.3
92,The F.Y.R. of Macedonia,10 1994,120,4,3.3,---,---,---,---
93,Swaziland,09 1993,64,2,3.1,09 1993,30,6,20.0
94,Kenya,12 1992,202,6,3.0,---,---,---,---
"""",Republic of Korea,04 1996,299,9,3.0,---,---,---,---
95,Tajikistan,02 1995,181,5,2.8,---,---,---,---
96,Paraguay,05 1993,80,2,2.5,05 1993,45,5,11.1
"""",Singapore,08 1991,81,2,2.5,---,---,---,---
97,Turkey,12 1995,550,13,2.4,---,---,---,---
98,Lebanon,08 1996,128,3,2.3,---,---,---,---
"""",Mali,03 1992,129,3,2.3,---,---,---,---
99,Solomon Islands,11 1995,47,1,2.1,---,---,---,---
100,Bhutan,01 1996,150,3,2.0,---,---,---,---
"""",Egypt,11 1995,454,9,2.0,---,---,---,---
"""",Ethiopia,05 1995,550,11,2.0,05 1995,117,?,?
101,Congo,10 1993,125,2,1.6,10 1996,60,2,3.3
102,Kyrgyzstan,02 1995,70,1,1.4,02 1995,35,4,11.4
103,Jordan,11 1993,80,1,1.3,11 1993,40,2,5.0
103,Mauritania,10 1996,79,1,1.3,04 1996,56,0,0.0
104,Togo,02 1994,81,1,1.2,---,---,---,---
105,Yemen,04 1997,301,2,0.7,---,---,---,---
106,Morocco,09 1993,333,2,0.6,---,---,---,---
107,Comoros,12 1996,43,0,0.0,---,---,---,---
"""",Djibouti,12 1992,65,0,0.0,---,---,---,---
"""",United Arab Emirates,11 1995,40,0,0.0,---,---,---,---
"""",Kiribati,07 1994,41,0,0.0,---,---,---,---
"""",Kuwait,10 1996,50,0,0.0,---,---,---,---
"""",Micronesia (Fed. States of),03 1997,14,0,0.0,---,---,---,---
"""",Palau,11 1996,16,0,0.0,11 1996,14,1,7.1
"""",Papua New Guinea,06 1992,109,0,0.0,---,---,---,---
"""",Saint Lucia,04 1992,18,0,0,04 1992,11,4,36.4
"""",Tonga,01 1996,30,0,0.0,---,---,---,---
?,Belarus,11 1995,260,?,?,---,---,---,---
?,Bosnia and Herzegovina,09 1996,42,?,?,09 1996,15,?,?
?,Ecuador,05 1996,82,?,?,---,---,---,---
?,Gabon,12 1996,120,?,?,---,---,---,---
?,Ghana,12 1996,200,?,?,---,---,---,---
?,Marshall Islands,11 1995,33,?,?,---,---,---,---
?,Iraq,03 1996,250,?,?,---,---,---,---
?,Libyan Arab Jamahiriya,1997*,760,?,?,---,---,---,---
?,Niger,11 1996,83,?,?,---,---,---,---
?,Vanuatu,11 1995,50,?,?,---,---,---,---
?,Yugoslavia,11 1996,138,?,?,02 1994,40,1,2.5
?,Pakistan,?,---,---,---,03 1994,87,3,3.4
